County/City,Ward,Pct,"John W. Davis","Calvin Coolidge","Robert Lafollette","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive
"Accomack County",,,"2,087",307,32,0,0,"2,426"
"Albemarle County",,,"1,383",366,52,0,0,"1,801"
"Alexandria City",,,"1,136",556,266,0,0,"1,958"
"Alleghany County",,,589,856,183,0,0,"1,628"
"Amelia County",,,372,153,15,0,0,540
"Amherst County",,,"1,092",129,105,0,0,"1,326"
"Appomattox County",,,952,101,18,0,0,"1,071"
"Arlington County",,,"1,209","1,307",405,0,0,"2,921"
"Augusta County",,,"1,920","1,265",78,0,0,"3,263"
"Bath County",,,404,407,24,0,0,835
"Bedford County",,,"1,811",432,31,0,0,"2,274"
"Bland County",,,604,609,4,0,0,"1,217"
"Botetourt County",,,"1,427","1,264",61,0,0,"2,752"
"Bristol City",,,"1,036",440,29,0,0,"1,505"
"Brunswick County",,,887,65,30,0,0,982
"Buchanan County",,,870,"1,080",14,0,0,"1,964"
"Buckingham County",,,623,213,15,0,0,851
"Buena Vista City",,,235,149,8,0,0,392
"Campbell County",,,"1,468",372,142,0,0,"1,982"
"Caroline County",,,840,223,20,0,0,"1,083"
"Carroll County",,,"1,257","1,743",14,0,0,"3,014"
"Charles City County",,,141,82,8,0,0,231
"Charlotte County",,,"1,006",154,84,0,0,"1,244"
"Charlottesville City",,,831,218,108,0,0,"1,157"
"Chesterfield County",,,967,282,75,0,0,"1,324"
"Clarke County",,,687,76,15,0,0,778
"Clifton Forge City",,,447,225,289,0,0,961
"Craig County",,,512,300,19,0,0,831
"Culpeper County",,,876,190,42,0,0,"1,108"
"Cumberland County",,,398,61,28,0,0,487
"Danville City",,,"1,577",473,187,0,0,"2,237"
"Dickenson County",,,"1,618","1,294",119,0,0,"3,031"
"Dinwiddie County",,,685,122,23,0,0,830
"Elizabeth City County",,,698,312,88,0,0,"1,098"
"Essex County",,,315,60,9,0,0,384
"Fairfax County",,,"1,586",765,195,0,0,"2,546"
"Fauquier County",,,"1,277",345,89,0,0,"1,711"
"Floyd County",,,515,984,13,0,0,"1,512"
"Fluvanna County",,,452,136,27,0,0,615
"Franklin County",,,"1,902","1,077",13,0,0,"2,992"
"Frederick County",,,"1,314",484,29,0,0,"1,827"
"Fredericksburg City",,,558,223,27,0,0,808
"Giles County",,,"1,319",852,58,0,0,"2,229"
"Gloucester County",,,616,109,5,0,0,730
"Goochland County",,,394,164,40,0,0,598
"Grayson County",,,"1,611","1,442",20,0,0,"3,073"
"Greene County",,,285,240,8,0,0,533
"Greensville County",,,417,132,23,0,0,572
"Halifax County",,,"2,245",374,45,0,0,"2,664"
"Hampton City",,,471,129,15,0,0,615
"Hanover County",,,732,135,38,0,0,905
"Harrisonburg City",,,624,631,15,0,0,"1,270"
"Henrico County",,,"1,052",416,132,0,0,"1,600"
"Henry County",,,"1,097",565,35,0,0,"1,697"
"Highland County",,,508,454,10,0,0,972
"Hopewell City",,,277,206,8,0,0,491
"Isle of Wight County",,,631,190,6,0,0,827
"James City County",,,173,54,13,0,0,240
"King and Queen County",,,314,134,4,0,0,452
"King George County",,,280,206,16,0,0,502
"King William County",,,372,148,13,0,0,533
"Lancaster County",,,564,90,14,0,0,668
"Lee County",,,"2,376","2,456",112,0,0,"4,944"
"Loudoun County",,,"1,794",152,82,0,0,"2,028"
"Louisa County",,,707,282,57,0,0,"1,046"
"Lunenburg County",,,686,130,219,0,0,"1,035"
"Lynchburg City",,,"2,086",606,128,0,0,"2,820"
"Madison County",,,589,347,35,0,0,971
"Mathews County",,,678,195,10,0,0,883
"Mecklenburg County",,,"1,649",286,20,0,0,"1,955"
"Middlesex County",,,438,78,7,0,0,523
"Montgomery County",,,"1,142",964,63,0,0,"2,169"
"Nansemond County",,,539,99,13,0,0,651
"Nelson County",,,"1,042",350,36,0,0,"1,428"
"New Kent County",,,178,86,15,0,0,279
"Newport News City",,,"1,574",917,289,0,0,"2,780"
"Norfolk County",,,"1,000",289,77,0,0,"1,366"
"Norfolk City",,,"5,061","2,447",411,0,0,"7,919"
"Northampton County",,,941,180,38,0,0,"1,159"
"Northumberland County",,,589,130,10,0,0,729
"Nottoway County",,,840,181,140,0,0,"1,161"
"Orange County",,,834,181,53,0,0,"1,068"
"Page County",,,"1,015",885,155,0,0,"2,055"
"Patrick County",,,"1,138",783,11,0,0,"1,932"
"Petersburg City",,,"1,331",228,32,0,0,"1,591"
"Pittsylvania County",,,"2,563",880,113,0,0,"3,556"
"Portsmouth City",,,"2,206",604,595,0,0,"3,405"
"Powhatan County",,,247,110,11,0,0,368
"Prince Edward County",,,714,140,9,0,0,863
"Prince George County",,,279,90,12,0,0,381
"Prince William County",,,847,269,52,0,0,"1,168"
"Princess Anne County",,,690,137,31,0,0,858
"Pulaski County",,,"1,767","1,422",90,0,0,"3,279"
"Radford City",,,394,314,99,0,0,807
"Rappahannock County",,,395,89,21,0,0,505
"Richmond County",,,340,125,6,0,0,471
"Richmond City",,,"9,904","2,600",907,0,0,"13,411"
"Roanoke County",,,"1,078",695,115,0,0,"1,888"
"Roanoke City",,,"3,930","1,747",755,0,0,"6,432"
"Rockbridge County",,,"1,394",680,58,0,0,"2,132"
"Rockingham County",,,"2,040","1,982",100,0,0,"4,122"
"Russell County",,,"2,554","1,848",73,0,0,"4,475"
"Scott County",,,"2,177","2,666",67,0,0,"4,910"
"Shenandoah County",,,"2,186","2,214",134,0,0,"4,534"
"Smyth County",,,"1,907","2,232",31,0,0,"4,170"
"S. Norfolk City",,,281,134,24,0,0,439
"Southampton County",,,"1,119",203,82,0,0,"1,404"
"Spotsylvania County",,,448,255,32,0,0,735
"Stafford County",,,450,433,43,0,0,926
"Staunton City",,,"1,022",549,38,0,0,"1,609"
"Suffolk City",,,557,179,24,0,0,760
"Surry County",,,388,72,42,0,0,502
"Sussex County",,,607,132,8,0,0,747
"Tazewell County",,,"2,568","2,631",272,0,0,"5,471"
"Warren County",,,699,150,38,0,0,887
"Warwick County",,,248,58,16,0,0,322
"Washington County",,,"3,083","2,848",83,0,0,"6,014"
"Westmoreland County",,,484,157,14,0,0,655
"Williamsburg City",,,196,31,0,0,0,227
"Winchester City",,,820,420,18,0,0,"1,258"
"Wise County",,,"4,157","3,322",736,0,0,"8,215"
"Wythe County",,,"1,899","1,996",49,0,0,"3,944"
"York County",,,305,75,15,0,0,395
TOTALS,,,"139,716","73,312","10,377",0,0,"223,405"
