County/City,Ward,Pct,"Herbert Hoover","Alfred E. Smith","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"1,367","1,826",0,0,"3,193"
"Albemarle County",,,846,"1,571",0,0,"2,417"
"Alexandria City",,,"1,617","1,307",0,0,"2,924"
"Alleghany County",,,"1,642",622,0,0,"2,264"
"Amelia County",,,277,498,0,0,775
"Amherst County",,,447,"1,442",0,0,"1,889"
"Appomattox County",,,446,885,0,0,"1,331"
"Arlington County",,,"4,274","1,444",0,0,"5,718"
"Augusta County",,,"2,679","1,507",0,0,"4,186"
"Bath County",,,731,409,0,0,"1,140"
"Bedford County",,,"1,118","1,436",0,0,"2,554"
"Bland County",,,826,575,0,0,"1,401"
"Botetourt County",,,"1,575","1,200",0,0,"2,775"
"Bristol City",,,630,922,0,0,"1,552"
"Brunswick County",,,245,922,0,0,"1,167"
"Buchanan County",,,"1,333","1,365",0,0,"2,698"
"Buckingham County",,,579,599,0,0,"1,178"
"Buena Vista City",,,267,172,0,0,439
"Campbell County",,,801,967,0,0,"1,768"
"Caroline County",,,638,639,0,0,"1,277"
"Carroll County",,,"2,459","1,117",0,0,"3,576"
"Charles City County",,,207,105,0,0,312
"Charlotte County",,,403,"1,112",0,0,"1,515"
"Charlottesville City",,,708,992,0,0,"1,700"
"Chesterfield County",,,"1,325","1,082",0,0,"2,407"
"Clarke County",,,248,740,0,0,988
"Clifton Forge City",,,781,591,0,0,"1,372"
"Craig County",,,451,489,0,0,940
"Culpeper County",,,753,836,0,0,"1,589"
"Cumberland County",,,213,442,0,0,655
"Danville City",,,"2,360","1,196",0,0,"3,556"
"Dickenson County",,,"1,868","1,879",0,0,"3,747"
"Dinwiddie County",,,332,945,0,0,"1,277"
"Elizabeth City County",,,"1,122",807,0,0,"1,929"
"Essex County",,,195,321,0,0,516
"Fairfax County",,,"2,507","1,229",0,0,"3,736"
"Fauquier County",,,972,"1,531",0,0,"2,503"
"Floyd County",,,"1,481",433,0,0,"1,914"
"Fluvanna County",,,327,447,0,0,774
"Franklin County",,,"1,529","1,861",0,0,"3,390"
"Frederick County",,,"1,006","1,140",0,0,"2,146"
"Fredericksburg City",,,697,594,0,0,"1,291"
"Giles County",,,"1,313","1,293",0,0,"2,606"
"Gloucester County",,,614,587,0,0,"1,201"
"Goochland County",,,318,431,0,0,749
"Grayson County",,,"2,728","1,713",0,0,"4,441"
"Greene County",,,423,259,0,0,682
"Greensville County",,,318,519,0,0,837
"Halifax County",,,"1,091","2,742",0,0,"3,833"
"Hampton City",,,544,615,0,0,"1,159"
"Hanover County",,,592,831,0,0,"1,423"
"Harrisonburg City",,,"1,037",616,0,0,"1,653"
"Henrico County",,,"1,887","1,349",0,0,"3,236"
"Henry County",,,"1,139","1,267",0,0,"2,406"
"Highland County",,,623,371,0,0,994
"Hopewell City",,,505,482,0,0,987
"Isle of Wight County",,,555,531,0,0,"1,086"
"James City County",,,204,201,0,0,405
"King and Queen County",,,319,280,0,0,599
"King George County",,,413,309,0,0,722
"King William County",,,329,431,0,0,760
"Lancaster County",,,520,315,0,0,835
"Lee County",,,"3,337","2,383",0,0,"5,720"
"Loudoun County",,,"1,325","1,915",0,0,"3,240"
"Louisa County",,,772,734,0,0,"1,506"
"Lunenburg County",,,314,"1,199",0,0,"1,513"
"Lynchburg City",,,"2,730","1,987",0,0,"4,717"
"Madison County",,,772,580,0,0,"1,352"
"Mathews County",,,855,431,0,0,"1,286"
"Mecklenburg County",,,784,"1,752",0,0,"2,536"
"Middlesex County",,,318,397,0,0,715
"Montgomery County",,,"1,861",967,0,0,"2,828"
"Nansemond County",,,649,737,0,0,"1,386"
"Nelson County",,,618,"1,216",0,0,"1,834"
"New Kent County",,,217,178,0,0,395
"Newport News City",,,"3,118","1,951",0,0,"5,069"
"Norfolk County",,,"1,922","1,418",0,0,"3,340"
"Norfolk City",,,"8,392","5,888",0,0,"14,280"
"Northampton County",,,688,935,0,0,"1,623"
"Northumberland County",,,744,286,0,0,"1,030"
"Nottoway County",,,667,986,0,0,"1,653"
"Orange County",,,732,846,0,0,"1,578"
"Page County",,,"1,580","1,025",0,0,"2,605"
"Patrick County",,,"1,191",883,0,0,"2,074"
"Petersburg City",,,909,"1,379",0,0,"2,288"
"Pittsylvania County",,,"2,598","1,688",0,0,"4,286"
"Portsmouth City",,,"3,474","2,587",0,0,"6,061"
"Powhatan County",,,189,287,0,0,476
"Prince Edward County",,,494,699,0,0,"1,193"
"Prince George County",,,235,428,0,0,663
"Prince William County",,,817,826,0,0,"1,643"
"Princess Anne County",,,"1,040",841,0,0,"1,881"
"Pulaski County",,,"1,998","1,821",0,0,"3,819"
"Radford City",,,524,373,0,0,897
"Rappahannock County",,,329,513,0,0,842
"Richmond County",,,467,292,0,0,759
"Richmond City",,,"10,767","10,213",0,0,"20,980"
"Roanoke County",,,"2,675","1,284",0,0,"3,959"
"Roanoke City",,,"6,471","4,018",0,0,"10,489"
"Rockbridge County",,,"1,206","1,311",0,0,"2,517"
"Rockingham County",,,"3,822","1,402",0,0,"5,224"
"Russell County",,,"2,006","2,511",0,0,"4,517"
"Scott County",,,"2,916","2,355",0,0,"5,271"
"Shenandoah County",,,"3,420","1,589",0,0,"5,009"
"Smyth County",,,"2,751","1,937",0,0,"4,688"
"S. Norfolk City",,,865,158,0,0,"1,023"
"Southampton County",,,648,844,0,0,"1,492"
"Spotsylvania County",,,654,439,0,0,"1,093"
"Stafford County",,,797,441,0,0,"1,238"
"Staunton City",,,"1,026",733,0,0,"1,759"
"Suffolk City",,,573,637,0,0,"1,210"
"Surry County",,,157,541,0,0,698
"Sussex County",,,385,547,0,0,932
"Tazewell County",,,"3,072","1,979",0,0,"5,051"
"Warren County",,,564,710,0,0,"1,274"
"Warwick County",,,465,298,0,0,763
