County/City,Ward,Pct,"Franklin D. Roosevelt","Herbert Hoover","Norman A. Thomas","William D. Upshaw","William Z. Foster","James R. Cox","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Socialist,Prohibition,Communist,"Farmer Labor"
"Accomack County",,,"2,458",527,2,20,0,0,0,0,"3,007"
"Albemarle County",,,"1,949",508,24,10,0,0,0,0,"2,491"
"Alexandria City",,,"2,941","1,199",30,12,2,0,0,0,"4,184"
"Alleghany County",,,"1,293","1,095",15,14,0,0,0,0,"2,417"
"Amelia County",,,701,142,6,5,0,0,0,0,854
"Amherst County",,,"1,764",195,12,7,2,0,0,0,"1,980"
"Appomattox County",,,"1,123",204,1,9,0,0,0,0,"1,337"
"Arlington County",,,"3,285","2,806",112,31,0,0,0,0,"6,234"
"Augusta County",,,"2,606","1,541",23,63,4,0,0,0,"4,237"
"Bath County",,,594,384,6,8,0,0,0,0,992
"Bedford County",,,"2,321",469,10,30,1,0,0,0,"2,831"
"Bland County",,,783,556,8,8,0,1,0,0,"1,356"
"Botetourt County",,,"1,808","1,209",5,34,2,0,0,0,"3,058"
"Bristol City",,,"1,252",307,3,21,0,0,0,0,"1,583"
"Brunswick County",,,"1,361",52,1,9,0,1,0,0,"1,424"
"Buchanan County",,,"1,372",727,0,3,1,0,0,0,"2,103"
"Buckingham County",,,870,204,5,11,0,0,0,0,"1,090"
"Buena Vista City",,,258,154,19,7,0,0,0,0,438
"Campbell County",,,"1,692",301,13,13,2,0,0,0,"2,021"
"Caroline County",,,"1,076",270,3,15,0,0,0,0,"1,364"
"Carroll County",,,"1,537","1,461",11,16,1,0,0,0,"3,026"
"Charles City County",,,245,85,0,5,0,0,0,0,335
"Charlotte County",,,"1,300",169,2,6,0,0,0,0,"1,477"
"Charlottesville City",,,"1,287",409,0,8,0,0,0,0,"1,704"
"Chesterfield County",,,"1,886",726,60,26,0,0,0,0,"2,698"
"Clarke County",,,841,124,2,6,0,0,0,0,973
"Clifton Forge City",,,917,328,14,11,1,0,0,0,"1,271"
"Craig County",,,649,302,2,13,0,0,0,0,966
"Culpeper County",,,"1,349",417,10,6,0,0,0,0,"1,782"
"Cumberland County",,,511,84,2,10,0,1,0,0,608
"Danville City",,,"2,264",740,27,51,2,0,0,0,"3,084"
"Dickenson County",,,"2,635","1,228",6,7,1,1,0,0,"3,878"
"Dinwiddie County",,,"1,028",104,2,6,0,0,0,0,"1,140"
