County/City,Ward,Pct,"Franklin D. Roosevelt","Alf Landon","D. Leigh Colvin","Norman A. Thomas","William Lemke","Earl Browder","John W. Aiken","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Prohibition,Socialist,Union,Communist,"Socialist Labor"
"Accomack County",,,"1,583",670,4,1,1,0,0,0,0,"2,259"
"Albemarle County",,,"1,825",635,1,3,2,1,0,0,0,"2,467"
"Alexandria City",,,"3,381","1,225",16,10,14,4,0,0,0,"4,650"
"Alleghany County",,,"2,013","1,319",7,3,3,0,0,0,0,"3,345"
"Amelia County",,,753,239,4,0,1,0,0,0,0,997
"Amherst County",,,"1,734",236,3,1,0,1,1,0,0,"1,976"
"Appomattox County",,,"1,375",204,4,1,2,1,0,0,0,"1,587"
"Arlington County",,,"4,971","2,825",6,16,15,1,1,0,0,"7,835"
"Augusta County",,,"2,872","1,668",24,1,6,0,0,0,0,"4,571"
"Bath County",,,614,514,2,0,0,0,0,0,0,"1,130"
"Bedford County",,,"2,276",619,8,0,1,2,0,0,0,"2,906"
"Bland County",,,778,642,1,2,1,1,0,0,0,"1,425"
"Botetourt County",,,"1,544","1,343",6,5,3,0,0,0,0,"2,901"
"Bristol City",,,"1,364",311,6,0,0,1,0,0,0,"1,682"
"Brunswick County",,,"1,303",60,1,0,1,0,0,0,0,"1,365"
"Buchanan County",,,"1,886",808,1,0,1,3,0,0,0,"2,699"
"Buckingham County",,,945,273,2,0,0,0,0,0,0,"1,220"
"Buena Vista City",,,363,177,0,0,0,0,0,0,0,540
"Campbell County",,,"1,987",370,4,1,0,1,0,0,0,"2,363"
"Caroline County",,,"1,104",258,4,1,0,0,0,0,0,"1,367"
"Carroll County",,,"2,122","3,245",0,0,0,1,0,0,0,"5,368"
"Charles City County",,,233,79,0,0,0,0,0,0,0,312
"Charlotte County",,,"1,727",190,4,0,1,0,0,0,0,"1,922"
"Charlottesville City",,,"1,393",335,5,7,0,2,0,0,0,"1,742"
"Chesterfield County",,,"2,522",621,19,5,4,2,0,0,0,"3,173"
"Clarke County",,,940,198,3,0,0,0,0,0,0,"1,141"
"Clifton Forge City",,,"1,199",343,5,2,1,0,0,0,0,"1,550"
"Craig County",,,653,395,1,0,0,0,0,0,0,"1,049"
"Culpeper County",,,"1,266",551,2,4,0,1,0,0,0,"1,824"
"Cumberland County",,,476,136,3,0,0,1,0,0,0,616
"Danville City",,,"3,266",549,20,7,2,1,0,0,0,"3,845"
"Dickenson County",,,"2,683","1,146",0,0,1,0,0,0,0,"3,830"
"Dinwiddie County",,,"1,343",127,2,2,0,1,0,0,0,"1,475"
"Elizabeth City County",,,"1,925",597,4,6,5,1,2,0,0,"2,540"
"Essex County",,,527,116,2,0,0,0,0,0,0,645
"Fairfax County",,,"2,913","1,584",9,8,12,1,0,0,0,"4,527"
"Fauquier County",,,"2,037",629,4,1,1,0,0,0,0,"2,672"
"Floyd County",,,699,"1,566",1,1,1,0,5,0,0,"2,273"
"Fluvanna County",,,586,217,5,0,0,0,0,0,0,808
"Franklin County",,,"2,285",975,4,2,5,0,1,0,0,"3,272"
"Frederick County",,,"1,386",665,2,1,1,2,1,0,0,"2,058"
"Fredericksburg City",,,944,411,2,0,0,0,0,0,0,"1,357"
"Giles County",,,"1,547","1,047",0,2,0,0,0,0,0,"2,596"
"Gloucester County",,,"1,012",281,4,0,0,0,0,0,0,"1,297"
"Goochland County",,,638,228,4,0,0,0,0,0,0,870
"Grayson County",,,"3,005","3,343",2,1,1,0,0,0,0,"6,352"
"Greene County",,,341,321,0,0,1,0,0,0,0,663
"Greensville County",,,884,0,0,0,0,0,0,0,0,884
"Halifax County",,,"4,331",302,3,6,0,0,0,0,0,"4,642"
"Hampton City",,,971,190,1,0,0,0,0,0,0,"1,162"
"Hanover County",,,"1,397",327,3,5,1,2,1,0,0,"1,736"
"Harrisonburg City",,,"1,390",894,7,3,2,1,0,0,0,"2,297"
"Henrico County",,,"3,610","1,285",4,14,5,1,0,0,0,"4,919"
"Henry County",,,"1,790",458,1,2,0,0,1,0,0,"2,252"
"Highland County",,,515,522,2,0,1,0,0,0,0,"1,040"
"Hopewell City",,,"1,309",332,2,3,4,0,1,0,0,"1,651"
"Isle of Wight County",,,"1,025",207,1,0,2,0,0,0,0,"1,235"
"James City County",,,302,70,0,0,0,0,0,0,0,372
"King and Queen County",,,372,124,1,0,0,0,0,0,0,497
"King George County",,,469,295,1,1,0,0,0,0,0,766
"King William County",,,696,211,1,0,0,2,0,0,0,910
"Lancaster County",,,689,322,2,0,1,0,0,0,0,"1,014"
"Lee County",,,"4,120","2,066",1,0,9,0,3,0,0,"6,199"
"Loudoun County",,,"2,287",867,7,0,0,0,1,0,0,"3,162"
"Louisa County",,,"1,100",486,7,5,0,0,0,0,0,"1,598"
"Lunenburg County",,,"1,291",77,1,1,0,0,0,0,0,"1,370"
"Lynchburg City",,,"3,697","1,373",10,7,0,5,0,0,0,"5,092"
"Madison County",,,804,662,1,0,0,0,0,0,0,"1,467"
"Martinsville City",,,949,255,4,0,0,0,0,0,0,"1,208"
"Mathews County",,,622,452,3,0,2,0,0,0,0,"1,079"
"Mecklenburg County",,,"2,730",202,1,1,0,0,0,0,0,"2,934"
"Middlesex County",,,653,123,5,0,0,0,0,0,0,781
"Montgomery County",,,"1,832","1,852",16,11,1,1,0,0,0,"3,713"
"Nansemond County",,,"1,478",175,1,0,0,0,0,0,0,"1,654"
"Nelson County",,,"1,204",370,2,1,0,0,0,0,0,"1,577"
"New Kent County",,,307,120,0,0,0,0,0,0,0,427
"Newport News City",,,"4,021",919,10,7,2,2,1,0,0,"4,962"
"Norfolk County",,,"3,734",652,6,3,3,2,6,0,0,"4,406"
"Norfolk City",,,"10,561","3,229",14,18,18,8,1,0,0,"13,849"
"Northampton County",,,975,277,1,2,0,0,0,0,0,"1,255"
"Northumberland County",,,618,260,0,0,0,0,0,0,0,878
"Nottoway County",,,"1,297",260,9,0,2,0,0,0,0,"1,568"
"Orange County",,,"1,227",402,5,1,1,0,0,0,0,"1,636"
"Page County",,,"1,888","1,551",3,1,1,2,1,0,0,"3,447"
"Patrick County",,,"1,588",726,4,0,1,0,1,0,0,"2,320"
"Petersburg City",,,"2,192",444,13,2,0,0,0,0,0,"2,651"
"Pittsylvania County",,,"3,694",556,2,3,0,0,0,0,0,"4,255"
"Portsmouth City",,,"5,617",861,11,7,5,8,0,0,0,"6,509"
"Powhatan County",,,438,158,0,0,0,0,0,0,0,596
"Prince Edward County",,,"1,153",253,3,1,0,0,0,0,0,"1,410"
"Prince George County",,,713,128,1,0,1,1,0,0,0,844
"Prince William County",,,"1,512",457,12,1,0,0,0,0,0,"1,982"
"Princess Anne County",,,"1,925",436,3,1,2,1,0,0,0,"2,368"
"Pulaski County",,,"2,337","1,180",3,0,1,0,0,0,0,"3,521"
"Radford City",,,650,421,3,3,1,0,0,0,0,"1,078"
"Rappahannock County",,,686,241,1,0,0,0,0,0,0,928
"Richmond County",,,451,217,0,0,0,0,0,0,0,668
"Richmond City",,,"18,784","4,478",23,33,17,10,3,0,0,"23,348"
"Roanoke County",,,"3,422","2,105",12,12,6,0,1,0,0,"5,558"
"Roanoke City",,,"7,087","3,363",15,17,21,1,0,0,0,"10,504"
