County/City,Ward,Pct,"Franklin D. Roosevelt","Wendell Willkie","Roger Babson","Norman A. Thomas","Earl Browder","John W. Aiken","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Prohibition,Socialist,Communist,"Socialist Labor"
"Accomack County",,,"1,476",882,5,2,1,0,0,0,"2,366"
"Albemarle County",,,"1,648",804,4,1,1,0,0,0,"2,458"
"Alexandria City",,,"4,004","1,802",9,15,1,0,0,0,"5,831"
"Alleghany County",,,"2,153","1,164",6,4,0,2,0,0,"3,329"
"Amelia County",,,562,267,0,2,0,0,0,0,831
"Amherst County",,,"2,048",292,4,2,0,1,0,0,"2,347"
"Appomattox County",,,"1,144",215,4,0,0,0,0,0,"1,363"
"Arlington County",,,"5,440","4,365",21,25,10,1,0,0,"9,862"
"Augusta County",,,"2,774","1,768",22,0,0,0,0,0,"4,564"
"Bath County",,,630,527,2,1,0,3,0,0,"1,163"
"Bedford County",,,"2,535",791,14,0,0,0,0,0,"3,340"
"Bland County",,,753,693,2,0,1,0,0,0,"1,449"
"Botetourt County",,,"1,329","1,085",6,2,0,0,0,0,"2,422"
"Bristol City",,,"1,465",423,16,0,0,0,0,0,"1,904"
"Brunswick County",,,"1,288",164,3,0,0,1,0,0,"1,456"
"Buchanan County",,,"2,554","1,291",2,0,1,0,0,0,"3,848"
"Buckingham County",,,829,289,3,0,1,1,0,0,"1,123"
"Buena Vista City",,,280,113,2,0,0,0,0,0,395
"Campbell County",,,"2,358",456,5,0,0,0,0,0,"2,819"
"Caroline County",,,"1,136",305,5,0,0,1,0,0,"1,447"
"Carroll County",,,"1,546","1,835",3,1,0,1,0,0,"3,386"
"Charles City County",,,238,92,0,0,0,0,0,0,330
"Charlotte County",,,"1,467",251,1,2,0,0,0,0,"1,721"
"Charlottesville City",,,"1,759",743,8,4,1,0,0,0,"2,515"
"Chesterfield County",,,"3,354",879,21,7,0,0,0,0,"4,261"
"Clarke County",,,"1,043",333,4,0,0,0,0,0,"1,380"
"Clifton Forge City",,,"1,179",353,9,1,1,0,0,0,"1,543"
"Craig County",,,656,299,2,0,0,0,0,0,957
"Culpeper County",,,"1,208",579,6,1,0,0,0,0,"1,794"
"Cumberland County",,,396,157,4,2,0,0,0,0,559
"Danville City",,,"3,324",787,30,0,0,0,0,0,"4,141"
