County/City,Ward,Pct,"Franklin D. Roosevelt","Thomas E. Dewey","Claude A. Watson","Norman A. Thomas","Edward Teichert","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Prohibition,Socialist,"Socialist Labor"
"Accomack County",,,"1,747","1,045",2,1,0,0,0,"2,795"
"Albemarle County",,,"1,725",964,8,2,2,0,0,"2,701"
"Alexandria City",,,"4,391","3,405",12,14,1,0,0,"7,823"
"Alleghany County",,,"1,985","1,308",6,1,0,0,0,"3,300"
"Amelia County",,,553,295,2,1,0,0,0,851
"Amherst County",,,"2,585",442,1,6,5,0,0,"3,039"
"Appomattox County",,,"1,109",270,4,1,1,0,0,"1,385"
"Arlington County",,,"7,122","8,317",10,47,3,0,0,"15,499"
"Augusta County",,,"2,913","2,319",9,5,1,0,0,"5,247"
"Bath County",,,581,504,2,1,1,0,0,"1,089"
"Bedford County",,,"2,534","1,068",4,2,0,0,0,"3,608"
"Bland County",,,762,744,0,0,0,0,0,"1,506"
"Botetourt County",,,"1,275","1,272",6,8,1,0,0,"2,562"
"Bristol City",,,"1,561",628,9,0,0,0,0,"2,198"
"Brunswick County",,,"1,239",208,0,0,0,0,0,"1,447"
"Buchanan County",,,"2,826","1,971",4,2,2,0,0,"4,805"
"Buckingham County",,,723,286,1,2,0,0,0,"1,012"
"Buena Vista City",,,402,179,1,0,0,0,0,582
"Campbell County",,,"1,995",634,3,1,0,0,0,"2,633"
"Caroline County",,,"1,004",383,2,2,0,0,0,"1,391"
"Carroll County",,,"1,375","2,352",0,1,1,0,0,"3,729"
"Charles City County",,,326,139,0,0,0,0,0,465
"Charlotte County",,,"1,473",356,1,0,0,0,0,"1,830"
"Charlottesville City",,,"2,188","1,055",4,8,0,0,0,"3,255"
"Chesterfield County",,,"2,860",901,7,2,2,0,0,"3,772"
"Clarke County",,,816,415,1,4,0,0,0,"1,236"
"Clifton Forge City",,,"1,082",415,2,3,0,0,0,"1,502"
"Craig County",,,564,327,1,0,0,0,0,892
"Culpeper County",,,"1,022",750,0,1,0,0,0,"1,773"
"Cumberland County",,,463,218,1,1,2,0,0,685
"Danville City",,,"3,121","1,231",10,3,1,0,0,"4,366"
"Dickenson County",,,"2,786","1,762",2,2,2,0,0,"4,554"
"Dinwiddie County",,,"1,096",279,1,1,0,0,0,"1,377"
"Elizabeth City County",,,"2,563","1,128",5,4,4,0,0,"3,704"
"Essex County",,,508,179,0,1,1,0,0,689
"Fairfax County",,,"3,582","4,046",2,29,3,0,0,"7,662"
"Fauquier County",,,"2,110","1,089",1,4,0,0,0,"3,204"
"Floyd County",,,630,"1,424",5,2,1,0,0,"2,062"
"Fluvanna County",,,577,291,2,0,0,0,0,870
"Franklin County",,,"2,002","1,206",3,13,0,0,0,"3,224"
"Frederick County",,,"1,213",938,2,2,1,0,0,"2,156"
"Fredericksburg City",,,"1,092",698,1,2,0,0,0,"1,793"
"Giles County",,,"1,703","1,203",2,2,0,0,0,"2,910"
"Gloucester County",,,934,410,3,2,0,0,0,"1,349"
"Goochland County",,,691,230,3,1,0,0,0,925
"Grayson County",,,"2,607","3,298",3,1,5,0,0,"5,914"
"Greene County",,,282,393,1,0,0,0,0,676
"Greensville County",,,954,279,2,1,1,0,0,"1,237"
"Halifax County",,,"3,351",512,7,0,0,0,0,"3,870"
"Hampton City",,,987,297,2,0,1,0,0,"1,287"
"Hanover County",,,"1,471",575,5,0,0,0,0,"2,051"
"Harrisonburg City",,,"1,292","1,302",3,5,0,0,0,"2,602"
"Henrico County",,,"3,056","1,263",0,6,6,0,0,"4,331"
"Henry County",,,"1,538",727,5,0,0,0,0,"2,270"
"Highland County",,,535,641,0,0,0,0,0,"1,176"
"Hopewell City",,,"1,284",368,2,3,0,0,0,"1,657"
"Isle of Wight County",,,"1,178",430,0,0,0,0,0,"1,608"
"James City County",,,317,161,0,0,0,0,0,478
"King and Queen County",,,363,166,0,0,0,0,0,529
"King George County",,,348,340,2,0,0,0,0,690
"King William County",,,718,280,0,0,0,0,0,998
"Lancaster County",,,666,390,1,3,1,0,0,"1,061"
"Lee County",,,"4,470","3,921",2,6,0,0,0,"8,399"
"Loudoun County",,,"1,802","1,485",2,4,1,0,0,"3,294"
"Louisa County",,,930,634,5,3,0,0,0,"1,572"
"Lunenburg County",,,"1,205",184,3,1,0,0,0,"1,393"
"Lynchburg City",,,"4,302","2,396",5,9,1,0,0,"6,713"
"Madison County",,,616,811,0,0,1,0,0,"1,428"
"Martinsville City",,,"1,093",458,2,0,0,0,0,"1,553"
"Mathews County",,,615,491,0,1,0,0,0,"1,107"
"Mecklenburg County",,,"2,561",430,0,0,0,0,0,"2,991"
"Middlesex County",,,627,186,3,0,0,0,0,816
"Montgomery County",,,"1,652","1,936",14,5,0,0,0,"3,607"
"Nansemond County",,,"1,398",351,0,0,0,0,0,"1,749"
"Nelson County",,,"1,390",427,2,0,0,0,0,"1,819"
"New Kent County",,,329,158,0,0,0,0,0,487
"Newport News City",,,"4,051","1,237",7,10,4,0,0,"5,309"
"Norfolk County",,,"5,467","1,527",4,11,2,0,0,"7,011"
"Norfolk City",,,"12,010","4,958",13,15,0,0,0,"16,996"
"Northampton County",,,"1,108",381,1,3,0,0,0,"1,493"
"Northumberland County",,,695,525,0,1,0,0,0,"1,221"
"Nottoway County",,,"1,453",472,5,0,0,0,0,"1,930"
"Orange County",,,"1,199",694,2,0,1,0,0,"1,896"
"Page County",,,"1,653","2,574",4,3,0,0,0,"4,234"
"Patrick County",,,"1,383",706,5,1,1,0,0,"2,096"
"Petersburg City",,,"2,256",719,5,0,1,0,0,"2,981"
"Pittsylvania County",,,"3,492","1,224",5,3,0,0,0,"4,724"
"Portsmouth City",,,"5,735","1,129",7,4,2,0,0,"6,877"
"Powhatan County",,,461,230,1,0,2,0,0,694
"Prince Edward County",,,"1,063",425,1,1,2,0,0,"1,492"
"Prince George County",,,796,301,0,1,0,0,0,"1,098"
"Prince William County",,,"1,340",763,4,1,0,0,0,"2,108"
"Princess Anne County",,,"1,959",993,0,1,0,0,0,"2,953"
"Pulaski County",,,"2,155","1,302",0,1,0,0,0,"3,458"
"Radford City",,,824,597,1,0,1,0,0,"1,423"
"Rappahannock County",,,497,297,2,0,1,0,0,797
"Richmond County",,,364,336,0,1,0,0,0,701
"Richmond City",,,"22,584","8,737",24,42,0,0,0,"31,387"
"Roanoke County",,,"3,380","3,146",8,1,1,0,0,"6,536"
"Roanoke City",,,"7,322","5,095",16,15,3,0,0,"12,451"
"Rockbridge County",,,"1,638",961,6,3,0,0,0,"2,608"
"Rockingham County",,,"2,104","3,714",8,13,0,0,0,"5,839"
"Russell County",,,"2,945","2,385",18,2,0,0,0,"5,350"
"Scott County",,,"2,888","3,089",5,0,1,0,0,"5,983"
"Shenandoah County",,,"1,962","3,517",4,2,0,0,0,"5,485"
"Smyth County",,,"2,266","2,726",3,3,1,0,0,"4,999"
"S. Norfolk City",,,924,241,1,1,1,0,0,"1,168"
"Southampton County",,,"1,599",284,7,5,0,0,0,"1,895"
"Spotsylvania County",,,744,504,3,0,0,0,0,"1,251"
"Stafford County",,,698,714,5,1,0,0,0,"1,418"
"Staunton City",,,"1,159",847,6,0,0,0,0,"2,012"
"Suffolk City",,,"1,342",569,2,1,0,0,0,"1,914"
"Surry County",,,602,123,1,0,0,0,0,726
"Sussex County",,,773,201,4,2,0,0,0,980
"Tazewell County",,,"2,832","2,271",18,3,4,0,0,"5,128"
"Warren County",,,"1,034",761,2,0,1,0,0,"1,798"
"Warwick County",,,"1,849",807,1,4,0,0,0,"2,661"
"Washington County",,,"2,849","2,792",9,10,4,0,0,"5,664"
"Westmoreland County",,,808,532,2,1,1,0,0,"1,344"
"Williamsburg City",,,454,211,3,3,0,0,0,671
"Winchester City",,,"1,000","1,095",2,5,0,0,0,"2,102"
"Wise County",,,"4,588","1,817",9,5,1,0,0,"6,420"
"Wythe County",,,"1,465","1,822",0,0,0,0,0,"3,287"
