County/City,Ward,Pct,"Harry S. Truman","Thomas E. Dewey","Strom Thurmond","Henry A. Wallace","Norman A. Thomas","Edward Teichert","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,"States' Rights",Progressive,Socialist,"Socialist Labor"
"Accomack County",,,"1,669","1,088",339,5,2,1,0,0,"3,104"
"Albemarle County",,,"1,178",984,271,4,5,1,0,0,"2,443"
"Alexandria City",,,"3,917","3,903",777,67,38,5,0,0,"8,707"
"Alleghany County",,,"2,253","1,425",147,14,11,0,0,0,"3,850"
"Amelia County",,,443,372,237,4,1,1,0,0,"1,058"
"Amherst County",,,"1,481",460,507,4,12,2,0,0,"2,466"
"Appomattox County",,,"1,182",238,241,3,1,1,0,0,"1,666"
"Arlington County",,,"7,798","10,774","1,121",267,146,5,0,0,"20,111"
"Augusta County",,,"1,355","1,690",401,2,6,0,0,0,"3,454"
"Bath County",,,375,488,70,5,0,0,0,0,938
"Bedford County",,,"1,556","1,084",963,2,2,2,0,0,"3,609"
"Bland County",,,738,822,66,1,1,0,0,0,"1,628"
"Botetourt County",,,"1,026","1,363",230,10,2,0,0,0,"2,631"
"Bristol City",,,"1,451",879,125,7,0,0,0,0,"2,462"
"Brunswick County",,,"1,067",229,895,3,4,4,0,0,"2,202"
"Buchanan County",,,"3,174","2,085",51,7,5,3,0,0,"5,325"
"Buckingham County",,,728,354,185,0,0,0,0,0,"1,267"
"Buena Vista City",,,297,234,31,1,0,0,0,0,563
"Campbell County",,,"1,554",668,644,3,2,5,0,0,"2,876"
"Caroline County",,,731,397,182,2,0,0,0,0,"1,312"
"Carroll County",,,"1,196","2,456",76,5,2,2,0,0,"3,737"
"Charles City County",,,258,167,69,2,1,0,0,0,497
"Charlotte County",,,964,285,417,0,0,1,0,0,"1,667"
"Charlottesville City",,,"1,527","1,419",387,15,18,1,0,0,"3,367"
"Chesterfield County",,,"2,600","1,428",671,18,10,3,0,0,"4,730"
"Clarke County",,,482,384,284,3,5,0,0,0,"1,158"
"Clifton Forge City",,,818,451,131,4,1,0,0,0,"1,405"
"Craig County",,,456,317,23,0,0,0,0,0,796
"Culpeper County",,,804,682,211,2,0,0,0,0,"1,699"
"Cumberland County",,,424,219,169,0,1,0,0,0,813
"Danville City",,,"2,334","1,579","1,511",11,8,5,0,0,"5,448"
"Dickenson County",,,"2,945","2,197",16,12,1,1,0,0,"5,172"
"Dinwiddie County",,,961,261,268,7,2,1,0,0,"1,500"
"Elizabeth City County",,,"2,744","1,617",364,47,11,5,0,0,"4,788"
"Essex County",,,329,221,99,1,0,1,0,0,651
"Fairfax County",,,"3,719","4,930",705,79,51,5,0,0,"9,489"
"Fauquier County",,,"1,291","1,102",265,3,6,0,0,0,"2,667"
"Floyd County",,,434,"1,266",42,1,1,1,0,0,"1,745"
"Fluvanna County",,,447,319,83,2,1,0,0,0,852
"Franklin County",,,"1,343","1,100",348,13,4,5,0,0,"2,813"
"Frederick County",,,"1,244",921,239,0,0,0,0,0,"2,404"
"Fredericksburg City",,,816,810,290,9,5,1,0,0,"1,931"
"Giles County",,,"1,529","1,448",131,4,3,0,0,0,"3,115"
"Gloucester County",,,719,434,117,3,0,1,0,0,"1,274"
"Goochland County",,,683,292,154,8,3,0,0,0,"1,140"
"Grayson County",,,"2,741","3,669",152,3,3,0,0,0,"6,568"
"Greene County",,,261,420,28,3,2,0,0,0,714
"Greensville County",,,710,301,404,4,2,6,0,0,"1,427"
"Halifax County",,,"1,323",521,"2,007",7,3,9,0,0,"3,870"
"Hampton City",,,727,371,123,13,1,0,0,0,"1,235"
"Hanover County",,,"1,048",838,294,14,6,2,0,0,"2,202"
"Harrisonburg City",,,751,"1,377",208,8,8,0,0,0,"2,352"
"Henrico County",,,"2,321","2,092",508,36,8,5,0,0,"4,970"
"Henry County",,,"1,318",730,474,7,1,7,0,0,"2,537"
"Highland County",,,423,579,85,1,1,1,0,0,"1,090"
"Hopewell City",,,"1,242",570,150,16,3,0,0,0,"1,981"
"Isle of Wight County",,,"1,064",442,81,2,1,1,0,0,"1,591"
"James City County",,,198,177,68,1,0,1,0,0,445
"King and Queen County",,,293,171,82,0,0,1,0,0,547
"King George County",,,248,316,152,2,1,1,0,0,720
"King William County",,,476,348,138,5,4,0,0,0,971
"Lancaster County",,,560,459,149,4,0,2,0,0,"1,174"
"Lee County",,,"4,069","4,297",86,7,4,3,0,0,"8,466"
"Loudoun County",,,"1,545","1,430",246,10,10,4,0,0,"3,245"
"Louisa County",,,782,701,201,6,1,0,0,0,"1,691"
"Lunenburg County",,,"1,126",251,335,3,1,2,0,0,"1,718"
"Lynchburg City",,,"2,480","2,373","1,841",23,28,2,0,0,"6,747"
"Madison County",,,428,662,89,2,3,4,0,0,"1,188"
"Martinsville City",,,814,642,598,6,0,1,0,0,"2,061"
"Mathews County",,,458,490,81,2,0,0,0,0,"1,031"
"Mecklenburg County",,,"2,117",513,422,1,0,0,0,0,"3,053"
"Middlesex County",,,457,271,148,1,1,1,0,0,879
"Montgomery County",,,"1,126","2,070",254,5,16,2,0,0,"3,473"
"Nansemond County",,,"2,115",413,179,66,0,0,0,0,"2,773"
"Nelson County",,,"1,204",371,164,1,1,0,0,0,"1,741"
"New Kent County",,,277,140,92,1,3,1,0,0,514
"Newport News City",,,"3,420","1,453",284,71,6,5,0,0,"5,239"
"Norfolk County",,,"4,696","1,830",536,21,4,2,0,0,"7,089"
"Norfolk City",,,"9,370","7,556","1,255",259,16,4,0,0,"18,460"
"Northampton County",,,997,525,229,5,1,1,0,0,"1,758"
"Northumberland County",,,429,535,178,2,0,2,0,0,"1,146"
"Nottoway County",,,"1,004",486,467,2,1,3,0,0,"1,963"
"Orange County",,,856,726,264,3,2,1,0,0,"1,852"
"Page County",,,"1,611","2,236",172,33,1,2,0,0,"4,055"
"Patrick County",,,760,648,430,1,1,0,0,0,"1,840"
"Petersburg City",,,"2,019","1,189",599,16,4,4,0,0,"3,831"
"Pittsylvania County",,,"3,149","1,164","1,321",11,3,18,0,0,"5,666"
"Portsmouth City",,,"4,612","2,056",615,82,12,4,0,0,"7,381"
"Powhatan County",,,338,238,83,2,1,1,0,0,663
"Prince Edward County",,,740,459,510,2,5,2,0,0,"1,718"
"Prince George County",,,745,317,138,7,2,1,0,0,"1,210"
"Prince William County",,,"1,162",760,151,6,3,1,0,0,"2,083"
"Princess Anne County",,,"2,008","1,329",361,12,3,2,0,0,"3,715"
"Pulaski County",,,"1,412","1,691",344,3,2,0,0,0,"3,452"
"Radford City",,,826,850,80,6,2,1,0,0,"1,765"
"Rappahannock County",,,617,311,100,3,0,3,0,0,"1,034"
"Richmond County",,,240,296,70,3,5,1,0,0,615
"Richmond City",,,"16,466","14,549","3,892",307,65,22,0,0,"35,301"
"Roanoke County",,,"2,876","3,988",568,18,4,1,0,0,"7,455"
"Roanoke City",,,"5,343","6,542","1,244",60,7,4,0,0,"13,200"
"Rockbridge County",,,994,"1,062",217,5,6,0,0,0,"2,284"
"Rockingham County",,,"1,680","3,219",260,8,14,1,0,0,"5,182"
"Russell County",,,"2,689","2,447",103,2,0,2,0,0,"5,243"
"Scott County",,,"2,676","3,520",63,6,4,3,0,0,"6,272"
"Shenandoah County",,,"1,603","3,349",214,8,6,0,0,0,"5,180"
"Smyth County",,,"1,750","2,897",161,4,10,0,0,0,"4,822"
"S. Norfolk City",,,857,347,73,6,0,0,0,0,"1,283"
"Southampton County",,,"1,462",339,291,5,2,1,0,0,"2,100"
"Spotsylvania County",,,818,517,170,4,1,0,0,0,"1,510"
"Stafford County",,,708,732,129,6,2,2,0,0,"1,579"
"Staunton City",,,914,"1,323",418,9,9,0,0,0,"2,673"
"Suffolk City",,,"1,030",741,246,51,2,0,0,0,"2,070"
"Surry County",,,460,134,180,0,0,0,0,0,774
"Sussex County",,,614,244,355,3,3,1,0,0,"1,220"
"Tazewell County",,,"2,258","2,278",163,6,1,0,0,0,"4,706"
"Warren County",,,"1,291","1,016",166,6,2,2,0,0,"2,483"
"Warwick County",,,"1,822","1,014",306,13,6,4,0,0,"3,165"
"Washington County",,,"2,510","2,972",187,11,7,6,0,0,"5,693"
"Waynesboro City",,,839,833,118,0,4,0,0,0,"1,794"
"Westmoreland County",,,503,568,197,7,1,0,0,0,"1,276"
"Williamsburg City",,,312,334,191,8,4,0,0,0,849
"Winchester City",,,894,"1,272",371,7,1,1,0,0,"2,546"
"Wise County",,,"4,862","2,836",133,8,2,4,0,0,"7,845"
"Wythe County",,,976,"2,077",279,3,1,0,0,0,"3,336"
"York County",,,826,418,119,6,4,3,0,0,"1,376"
TOTALS,,,"200,786","172,070","43,393","2,047",726,234,0,0,"419,256"
