County/City,Ward,Pct,"Dwight D. Eisenhower","Adlai Stevenson","Eric Hass","Darlington Hoopes","Vincent Hallinan","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,"Socialist Labor","Social Democrat",Progressive
"Accomack County",,,"2,626","2,220",12,4,2,0,0,"4,864"
"Albemarle County",,,"2,523","1,642",8,8,2,0,0,"4,183"
"Alexandria City",,,"8,579","6,471",9,7,6,0,0,"15,072"
"Alleghany County",,,"2,564","2,274",7,2,2,0,0,"4,849"
"Amelia County",,,832,703,8,5,3,0,0,"1,551"
"Amherst County",,,"1,407","2,078",11,3,1,0,0,"3,500"
"Appomattox County",,,929,957,3,2,0,0,0,"1,891"
"Arlington County",,,"22,158","14,032",157,5,28,0,0,"36,380"
"Augusta County",,,"3,414","1,453",6,2,4,0,0,"4,879"
"Bath County",,,765,451,2,0,3,0,0,"1,221"
"Bedford County",,,"2,916","2,426",4,5,2,0,0,"5,353"
"Bland County",,,"1,000",743,2,1,2,0,0,"1,748"
"Botetourt County",,,"2,021","1,264",0,1,0,0,0,"3,286"
"Bristol City",,,"1,574","1,432",1,2,0,0,0,"3,009"
"Brunswick County",,,"1,098","1,635",5,9,0,0,0,"2,747"
"Buchanan County",,,"2,330","3,613",69,11,6,0,0,"6,029"
"Buckingham County",,,811,919,5,4,2,0,0,"1,741"
"Buena Vista City",,,513,392,0,1,0,0,0,906
"Campbell County",,,"2,447","2,713",14,2,2,0,0,"5,178"
"Caroline County",,,858,954,12,1,0,0,0,"1,825"
"Carroll County",,,"3,774","1,711",7,1,2,0,0,"5,495"
"Charles City County",,,342,492,8,5,3,0,0,850
"Charlotte County",,,949,"1,630",8,7,2,0,0,"2,596"
"Charlottesville City",,,"3,292","2,174",2,5,1,0,0,"5,474"
"Chesterfield County",,,"4,482","3,546",9,5,4,0,0,"8,046"
"Clarke County",,,809,716,4,1,0,0,0,"1,530"
"Clifton Forge City",,,936,811,3,1,0,0,0,"1,751"
"Colonial Heights City",,,896,835,1,0,0,0,0,"1,732"
"Craig County",,,425,490,0,0,0,0,0,915
"Culpeper County",,,"1,507",987,1,2,1,0,0,"2,498"
"Cumberland County",,,695,574,3,5,0,0,0,"1,277"
"Danville City",,,"4,765","3,323",26,26,6,0,0,"8,146"
"Dickenson County",,,"2,913","3,210",17,3,1,0,0,"6,144"
"Dinwiddie County",,,983,"1,462",11,11,5,0,0,"2,472"
"Essex County",,,610,545,6,2,0,0,0,"1,163"
"Fairfax County",,,"13,020","8,329",7,7,16,0,0,"21,379"
"Falls Church City",,,"1,386",930,0,1,0,0,0,"2,317"
"Fauquier County",,,"2,068","1,597",8,0,2,0,0,"3,675"
"Floyd County",,,"1,626",619,17,2,4,0,0,"2,268"
"Fluvanna County",,,724,519,5,5,1,0,0,"1,254"
"Franklin County",,,"1,976","2,012",13,20,5,0,0,"4,026"
"Frederick County",,,"1,803","1,326",4,0,1,0,0,"3,134"
"Fredericksburg City",,,"1,536",970,2,2,0,0,0,"2,510"
"Giles County",,,"1,935","1,717",3,0,0,0,0,"3,655"
"Gloucester County",,,"1,073",961,6,4,2,0,0,"2,046"
"Goochland County",,,714,820,10,4,0,0,0,"1,548"
"Grayson County",,,"4,449","2,734",10,5,3,0,0,"7,201"
"Greene County",,,537,250,3,2,0,0,0,792
"Greensville County",,,988,"1,259",15,6,5,0,0,"2,273"
"Halifax County",,,"2,274","3,296",10,6,1,0,0,"5,587"
"Hampton City",,,"5,505","4,946",15,9,6,0,0,"10,481"
"Hanover County",,,"2,257","1,518",2,0,0,0,0,"3,777"
"Harrisonburg City",,,"2,238",635,2,1,0,0,0,"2,876"
"Henrico County",,,"10,682","5,339",4,7,3,0,0,"16,035"
"Henry County",,,"1,871","2,323",17,8,1,0,0,"4,220"
"Highland County",,,696,419,2,0,1,0,0,"1,118"
"Hopewell City",,,"1,640","1,657",5,3,3,0,0,"3,308"
"Isle of Wight County",,,996,"1,227",9,4,1,0,0,"2,237"
"James City County",,,527,346,2,0,0,0,0,875
"King and Queen County",,,415,387,3,3,2,0,0,810
"King George County",,,577,503,5,3,2,0,0,"1,090"
