County/City,Ward,Pct,"Dwight D. Eisenhower","Adlai Stevenson","T. Coleman Andrews, Jr","Darlington Hoopes","Eric Haas","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,"States' Rights","Virginia Social Democrat","Socialist Labor"
"Accomack County",,,"2,823","2,213",162,3,3,0,0,"5,204"
"Albemarle County",,,"2,508","1,412",466,0,0,0,0,"4,386"
"Alexandria City",,,"8,633","7,451",357,5,3,0,0,"16,449"
"Alleghany County",,,"1,135",822,97,0,0,0,0,"2,054"
"Amelia County",,,745,403,571,5,4,0,0,"1,728"
"Amherst County",,,"1,529","1,933",124,4,0,0,0,"3,590"
"Appomattox County",,,853,"1,079",153,1,0,0,0,"2,086"
"Arlington County",,,"21,868","16,674","1,151",10,22,0,0,"39,725"
"Augusta County",,,"3,466","1,484",139,2,1,0,0,"5,092"
"Bath County",,,739,479,45,0,1,0,0,"1,264"
"Bedford County",,,"3,148","2,649",241,3,5,0,0,"6,046"
"Bland County",,,"1,113",813,20,1,0,0,0,"1,947"
"Botetourt County",,,"2,280","1,377",101,0,0,0,0,"3,758"
"Bristol City",,,"1,794","1,645",17,0,1,0,0,"3,457"
"Brunswick County",,,799,"1,357",996,3,5,0,0,"3,160"
"Buchanan County",,,"3,191","3,616",21,1,2,0,0,"6,831"
"Buckingham County",,,751,648,312,7,3,0,0,"1,721"
"Buena Vista City",,,545,326,24,1,1,0,0,897
"Campbell County",,,"2,827","2,674",401,8,6,0,0,"5,916"
"Caroline County",,,907,853,202,4,3,0,0,"1,969"
"Carroll County",,,"4,060","1,739",24,3,2,0,0,"5,828"
"Charles City County",,,661,174,79,3,0,0,0,917
"Charlotte County",,,791,"1,431",605,8,4,0,0,"2,839"
"Charlottesville City",,,"3,746","1,783",490,3,1,0,0,"6,023"
"Chesterfield County",,,"5,787","3,306","1,791",8,2,0,0,"10,894"
"Clarke County",,,785,725,95,0,0,0,0,"1,605"
"Clifton Forge City",,,"1,125",633,71,0,1,0,0,"1,830"
"Colonial Heights City",,,"1,037",956,177,2,0,0,0,"2,172"
"Covington City",,,"1,639","1,189",79,1,1,0,0,"2,909"
"Craig County",,,485,501,7,0,0,0,0,993
"Culpeper County",,,"1,502",966,188,3,2,0,0,"2,661"
"Cumberland County",,,566,331,416,2,4,0,0,"1,319"
"Danville City",,,"4,561","2,409",740,5,11,0,0,"7,726"
"Dickenson County",,,"3,444","3,695",8,4,2,0,0,"7,153"
"Dinwiddie County",,,807,"1,282",524,9,6,0,0,"2,628"
"Essex County",,,597,328,149,1,1,0,0,"1,076"
"Fairfax County",,,"20,761","15,633",862,4,7,0,0,"37,267"
"Falls Church City",,,"1,462","1,233",55,2,0,0,0,"2,752"
"Fauquier County",,,"2,112","1,567",122,1,0,0,0,"3,802"
"Floyd County",,,"1,970",799,25,1,1,0,0,"2,796"
"Fluvanna County",,,734,417,208,2,2,0,0,"1,363"
