County/City,Ward,Pct,"Richard Nixon","John F. Kennedy","C. Benton Coiner","Eric Haas","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Conservative,"Socialist Labor"
"Accomack County",,,"2,676","2,884",20,1,0,0,"5,581"
"Albemarle County",,,"3,135","2,102",34,1,0,0,"5,272"
"Alexandria City",,,"8,826","9,662",57,6,0,0,"18,551"
"Alleghany County",,,"1,214","1,265",8,1,0,0,"2,488"
"Amelia County",,,784,708,31,1,0,0,"1,524"
"Amherst County",,,"1,455","2,280",10,2,0,0,"3,747"
"Appomattox County",,,951,"1,240",14,3,0,0,"2,208"
"Arlington County",,,"23,632","22,095",225,25,0,0,"45,977"
"Augusta County",,,"4,034","1,914",40,1,0,0,"5,989"
"Bath County",,,646,629,1,1,0,0,"1,277"
"Bedford County",,,"2,911","3,150",17,3,0,0,"6,081"
"Bland County",,,848,822,0,1,0,0,"1,671"
"Botetourt County",,,"2,159","1,621",22,0,0,0,"3,802"
"Bristol City",,,"1,728","1,561",9,1,0,0,"3,299"
"Brunswick County",,,926,"1,942",63,1,0,0,"2,932"
"Buchanan County",,,"2,370","3,706",18,5,0,0,"6,099"
"Buckingham County",,,765,947,11,1,0,0,"1,724"
"Buena Vista City",,,487,427,4,0,0,0,918
"Campbell County",,,"2,903","3,030",37,0,0,0,"5,970"
"Caroline County",,,864,"1,483",19,1,0,0,"2,367"
"Carroll County",,,"3,705","1,873",9,2,0,0,"5,589"
"Charles City County",,,337,623,3,1,0,0,964
"Charlotte County",,,867,"1,735",26,7,0,0,"2,635"
"Charlottesville City",,,"3,651","2,894",72,11,0,0,"6,628"
"Chesterfield County",,,"9,787","5,982",87,3,0,0,"15,859"
"Clarke County",,,804,923,9,0,0,0,"1,736"
"Clifton Forge City",,,885,771,4,3,0,0,"1,663"
"Colonial Heights City",,,"1,372","1,198",10,1,0,0,"2,581"
"Covington City",,,"1,436","1,558",6,1,0,0,"3,001"
"Craig County",,,433,534,0,0,0,0,967
"Culpeper County",,,"1,630","1,332",8,1,0,0,"2,971"
"Cumberland County",,,691,559,12,0,0,0,"1,262"
"Danville City",,,"4,966","2,611",188,29,0,0,"7,794"
"Dickenson County",,,"2,203","2,756",1,0,0,0,"4,960"
"Dinwiddie County",,,935,"1,714",36,1,0,0,"2,686"
"Essex County",,,606,509,1,1,0,0,"1,117"
"Fairfax County",,,"28,006","26,064",124,25,0,0,"54,219"
"Falls Church City",,,"1,525","1,629",7,4,0,0,"3,165"
"Fauquier County",,,"2,123","1,958",13,0,0,0,"4,094"
"Floyd County",,,"1,933",817,4,5,0,0,"2,759"
"Fluvanna County",,,763,614,13,0,0,0,"1,390"
"Franklin County",,,"2,080","2,924",9,3,0,0,"5,016"
"Frederick County",,,"2,061","1,757",14,3,0,0,"3,835"
"Fredericksburg City",,,"1,566","1,326",22,1,0,0,"2,915"
"Galax City",,,867,508,1,1,0,0,"1,377"
"Giles County",,,"2,030","2,214",78,5,0,0,"4,327"
"Gloucester County",,,"1,310","1,297",10,3,0,0,"2,620"
"Goochland County",,,851,862,33,3,0,0,"1,749"
"Grayson County",,,"3,893","2,738",4,3,0,0,"6,638"
"Greene County",,,573,314,5,0,0,0,892
"Greensville County",,,"1,057","1,676",31,2,0,0,"2,766"
"Halifax County",,,"1,784","2,676",44,4,0,0,"4,508"
"Hampton City",,,"7,623","7,133",43,9,0,0,"14,808"
"Hanover County",,,"3,020","2,023",39,3,0,0,"5,085"
"Harrisonburg City",,,"2,172",836,7,0,0,0,"3,015"
"Henrico County",,,"19,446","9,626",152,11,0,0,"29,235"
"Henry County",,,"2,323","3,306",12,2,0,0,"5,643"
"Highland County",,,527,401,3,1,0,0,932
"Hopewell City",,,"2,169","1,805",21,4,0,0,"3,999"
"Isle of Wight County",,,"1,141","2,020",13,3,0,0,"3,177"
"James City County",,,873,845,9,2,0,0,"1,729"
"King and Queen County",,,432,536,14,1,0,0,983
"King George County",,,685,717,8,0,0,0,"1,410"
"King William County",,,793,745,10,1,0,0,"1,549"
"Lancaster County",,,"1,340",895,14,1,0,0,"2,250"
"Lee County",,,"3,363","3,867",24,11,0,0,"7,265"
"Loudoun County",,,"2,526","2,399",28,1,0,0,"4,954"
"Louisa County",,,"1,170","1,244",39,5,0,0,"2,458"
"Lunenburg County",,,838,"1,451",90,0,0,0,"2,379"
"Lynchburg City",,,"7,271","4,961",23,1,0,0,"12,256"
"Madison County",,,998,636,19,0,0,0,"1,653"
"Martinsville City",,,"1,729","1,699",84,5,0,0,"3,517"
"Mathews County",,,"1,069",682,3,0,0,0,"1,754"
"Mecklenburg County",,,"1,936","2,533",64,1,0,0,"4,534"
"Middlesex County",,,823,574,5,0,0,0,"1,402"
"Montgomery County",,,"4,270","2,157",17,1,0,0,"6,445"
"Nansemond County",,,"1,346","3,944",24,9,0,0,"5,323"
"Nelson County",,,775,"1,480",13,0,0,0,"2,268"
"New Kent County",,,526,481,10,1,0,0,"1,018"
"Newport News City",,,"10,098","8,678",75,4,0,0,"18,855"
"Norfolk County",,,"3,769","5,101",65,1,0,0,"8,936"
"Norfolk City",,,"17,174","22,037",248,14,0,0,"39,473"
"Northampton County",,,995,"1,387",9,1,0,0,"2,392"
"Northumberland County",,,"1,340",858,11,2,0,0,"2,211"
"Norton City",,,549,526,1,0,0,0,"1,076"
"Nottoway County",,,"1,319","1,882",84,1,0,0,"3,286"
"Orange County",,,"1,413","1,108",78,4,0,0,"2,603"
"Page County",,,"2,708","1,608",10,5,0,0,"4,331"
"Patrick County",,,"1,362","1,655",9,2,0,0,"3,028"
"Petersburg City",,,"2,820","2,950",32,1,0,0,"5,803"
"Pittsylvania County",,,"3,788","4,089",67,10,0,0,"7,954"
"Portsmouth City",,,"6,900","9,902",165,13,0,0,"16,980"
"Powhatan County",,,779,528,19,2,0,0,"1,328"
"Prince Edward County",,,"1,721","1,459",31,3,0,0,"3,214"
"Prince George County",,,727,983,13,2,0,0,"1,725"
"Prince William County",,,"2,624","2,987",23,5,0,0,"5,639"
"Princess Anne County",,,"4,844","5,954",39,6,0,0,"10,843"
"Pulaski County",,,"3,059","2,104",44,0,0,0,"5,207"
"Radford City",,,"1,663","1,240",9,0,0,0,"2,912"
"Rappahannock County",,,426,544,3,2,0,0,975
"Richmond County",,,801,425,6,1,0,0,"1,233"
"Richmond City",,,"27,307","17,642",245,11,0,0,"45,205"
"Roanoke County",,,"9,109","4,384",36,3,0,0,"13,532"
"Roanoke City",,,"15,229","9,175",45,4,0,0,"24,453"
"Rockbridge County",,,"2,170","1,405",10,0,0,0,"3,585"
"Rockingham County",,,"4,829","2,026",16,1,0,0,"6,872"
"Russell County",,,"3,044","3,496",12,2,0,0,"6,554"
"Scott County",,,"4,936","3,789",15,4,0,0,"8,744"
"Shenandoah County",,,"4,144","2,053",2,0,0,0,"6,199"
"Smyth County",,,"4,256","2,864",16,2,0,0,"7,138"
"S. Boston City",,,807,477,2,1,0,0,"1,287"
"S. Norfolk City",,,"1,341","2,155",24,1,0,0,"3,521"
"Southampton County",,,"1,263","2,804",57,1,0,0,"4,125"
"Spotsylvania County",,,"1,288","1,482",23,6,0,0,"2,799"
"Stafford County",,,"1,447","1,494",22,2,0,0,"2,965"
"Staunton City",,,"2,789","1,233",9,1,0,0,"4,032"
"Suffolk City",,,"1,406","1,419",9,0,0,0,"2,834"
"Surry County",,,397,"1,003",40,3,0,0,"1,443"
"Sussex County",,,713,"1,253",25,2,0,0,"1,993"
"Tazewell County",,,"3,139","4,416",19,0,0,0,"7,574"
"Virginia Beach City",,,986,"1,301",33,1,0,0,"2,321"
"Warren County",,,"1,842","1,850",25,3,0,0,"3,720"
"Washington County",,,"4,473","3,833",33,8,0,0,"8,347"
"Waynesboro City",,,"2,444","1,047",22,0,0,0,"3,513"
"Westmoreland County",,,"1,176","1,034",8,1,0,0,"2,219"
"Williamsburg City",,,721,486,12,1,0,0,"1,220"
"Winchester City",,,"2,326","1,203",16,0,0,0,"3,545"
"Wise County",,,"3,876","5,822",17,1,0,0,"9,716"
"Wythe County",,,"2,871","2,075",39,8,0,0,"4,993"
"York County",,,"2,085","1,691",19,0,0,0,"3,795"
TOTALS,,,"404,521","362,327","4,204",397,0,0,"771,449"
