County/City,Ward,Pct,"Lyndon B. Johnson","Barry GoldWalter","Eric Haas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Socialist Labor"
"Accomack County",,,"3,528","3,145",10,0,0,"6,683"
"Albemarle County",,,"3,062","3,251",2,0,0,"6,315"
"Alexandria City",,,"16,828","8,825",30,0,0,"25,683"
"Alleghany County",,,"1,580","1,104",1,0,0,"2,685"
"Amelia County",,,884,"1,348",7,0,0,"2,239"
"Amherst County",,,"2,730","2,675",5,0,0,"5,410"
"Appomattox County",,,"1,339","2,444",8,0,0,"3,791"
"Arlington County",,,"33,567","20,485",311,0,0,"54,363"
"Augusta County",,,"4,039","4,327",6,0,0,"8,372"
"Bath County",,,770,516,0,0,0,"1,286"
"Bedford County",,,"4,076","3,806",32,0,0,"7,914"
"Bland County",,,851,717,2,0,0,"1,570"
"Botetourt County",,,"2,377","2,098",1,0,0,"4,476"
"Bristol City",,,"2,429","1,289",5,0,0,"3,723"
"Brunswick County",,,"1,883","2,560",3,0,0,"4,446"
"Buchanan County",,,"4,756","2,349",19,0,0,"7,124"
"Buckingham County",,,"1,182","1,547",4,0,0,"2,733"
"Buena Vista City",,,691,459,3,0,0,"1,153"
"Campbell County",,,"3,401","5,713",31,0,0,"9,145"
"Caroline County",,,"2,064","1,166",13,0,0,"3,243"
"Carroll County",,,"2,517","3,617",12,0,0,"6,146"
"Charles City County",,,"1,023",323,2,0,0,"1,348"
"Charlotte County",,,"1,191","1,974",13,0,0,"3,178"
"Charlottesville City",,,"5,205","4,415",84,0,0,"9,704"
"Chesapeake City",,,"9,532","9,038",51,0,0,"18,621"
"Chesterfield County",,,"8,376","17,486",9,0,0,"25,871"
"Clarke County",,,"1,136","1,068",2,0,0,"2,206"
"Clifton Forge City",,,"1,252",850,0,0,0,"2,102"
"Colonial Heights City",,,"1,198","2,420",2,0,0,"3,620"
"Covington City",,,"2,055","1,149",2,0,0,"3,206"
"Craig County",,,767,477,0,0,0,"1,244"
"Culpeper County",,,"1,886","1,775",4,0,0,"3,665"
"Cumberland County",,,871,"1,099",7,0,0,"1,977"
"Danville City",,,"4,539","7,900",285,0,0,"12,724"
"Dickenson County",,,"3,485","2,143",11,0,0,"5,639"
"Dinwiddie County",,,"2,182","2,096",7,0,0,"4,285"
"Essex County",,,760,789,1,0,0,"1,550"
"Fairfax County",,,"48,680","30,755",82,0,0,"79,517"
"Fairfax City",,,"2,835","1,924",7,0,0,"4,766"
"Falls Church City",,,"2,371","1,329",7,0,0,"3,707"
"Fauquier County",,,"3,506","2,101",6,0,0,"5,613"
"Floyd County",,,"1,144","1,836",5,0,0,"2,985"
"Fluvanna County",,,"1,008",823,3,0,0,"1,834"
"Franklin County",,,"3,447","2,279",11,0,0,"5,737"
"Franklin City",,,"1,257",783,1,0,0,"2,041"
"Frederick County",,,"2,880","2,585",9,0,0,"5,474"
"Fredericksburg City",,,"2,410","1,511",7,0,0,"3,928"
"Galax City",,,717,697,2,0,0,"1,416"
"Giles County",,,"3,133","1,952",82,0,0,"5,167"
"Gloucester County",,,"1,949","1,631",3,0,0,"3,583"
"Goochland County",,,"1,452","1,241",4,0,0,"2,697"
"Grayson County",,,"3,238","3,105",9,0,0,"6,352"
"Greene County",,,460,641,3,0,0,"1,104"
"Greensville County",,,"2,262","2,245",12,0,0,"4,519"
"Halifax County",,,"2,198","3,928",18,0,0,"6,144"
"Hampton City",,,"13,542","8,731",15,0,0,"22,288"
"Hanover County",,,"2,864","4,879",8,0,0,"7,751"
"Harrisonburg City",,,"1,765","1,820",5,0,0,"3,590"
"Henrico County",,,"12,779","29,286",17,0,0,"42,082"
"Henry County",,,"5,295","2,844",45,0,0,"8,184"
"Highland County",,,476,511,2,0,0,989
"Hopewell City",,,"2,498","3,183",10,0,0,"5,691"
"Isle of Wight County",,,"2,656","1,737",6,0,0,"4,399"
"James City County",,,"1,744","1,092",3,0,0,"2,839"
"King and Queen County",,,786,699,4,0,0,"1,489"
"King George County",,,"1,085",644,0,0,0,"1,729"
"King William County",,,904,"1,065",6,0,0,"1,975"
"Lancaster County",,,"1,245","1,663",3,0,0,"2,911"
"Lee County",,,"5,151","3,463",12,0,0,"8,626"
"Loudoun County",,,"4,278","2,594",5,0,0,"6,877"
"Louisa County",,,"1,731","1,369",3,0,0,"3,103"
"Lunenburg County",,,"1,128","1,847",2,0,0,"2,977"
"Lynchburg City",,,"6,758","10,044",32,0,0,"16,834"
"Madison County",,,862,"1,060",1,0,0,"1,923"
"Martinsville City",,,"2,943","1,805",76,0,0,"4,824"
"Mathews County",,,"1,137","1,149",0,0,0,"2,286"
"Mecklenburg County",,,"3,238","4,976",13,0,0,"8,227"
"Middlesex County",,,973,"1,019",3,0,0,"1,995"
"Montgomery County",,,"3,872","4,604",13,0,0,"8,489"
"Nansemond County",,,"4,804","2,590",21,0,0,"7,415"
"Nelson County",,,"1,635",893,6,0,0,"2,534"
"New Kent County",,,684,677,4,0,0,"1,365"
"Newport News City",,,"15,296","10,584",14,0,0,"25,894"
"Norfolk City",,,"32,388","18,429",729,0,0,"51,546"
"Northampton County",,,"1,516","1,586",1,0,0,"3,103"
"Northumberland County",,,988,"1,423",7,0,0,"2,418"
"Norton City",,,824,372,0,0,0,"1,196"
"Nottoway County",,,"2,138","2,353",8,0,0,"4,499"
"Orange County",,,"1,508","1,595",4,0,0,"3,107"
"Page County",,,"2,606","2,804",9,0,0,"5,419"
"Patrick County",,,"2,306","1,468",2,0,0,"3,776"
"Petersburg City",,,"4,521","3,253",1,0,0,"7,775"
"Pittsylvania County",,,"5,228","7,120",25,0,0,"12,373"
"Portsmouth City",,,"16,073","8,420",51,0,0,"24,544"
"Powhatan County",,,969,"1,182",1,0,0,"2,152"
"Prince Edward County",,,"1,512","2,545",7,0,0,"4,064"
"Prince George County",,,"1,502","1,790",3,0,0,"3,295"
"Prince William County",,,"5,611","3,343",9,0,0,"8,963"
"Pulaski County",,,"3,620","3,101",5,0,0,"6,726"
"Radford City",,,"1,850","1,505",3,0,0,"3,358"
"Rappahannock County",,,675,449,3,0,0,"1,127"
"Richmond County",,,636,901,3,0,0,"1,540"
"Richmond City",,,"35,662","27,196",32,0,0,"62,890"
"Roanoke County",,,"8,808","10,714",14,0,0,"19,536"
"Roanoke City",,,"15,314","13,164",18,0,0,"28,496"
"Rockbridge County",,,"2,599","2,200",7,0,0,"4,806"
"Rockingham County",,,"4,205","4,155",3,0,0,"8,363"
"Russell County",,,"4,330","3,012",25,0,0,"7,367"
"Scott County",,,"4,720","4,533",16,0,0,"9,269"
"Shenandoah County",,,"3,184","3,981",3,0,0,"7,168"
"Smyth County",,,"4,113","3,830",9,0,0,"7,952"
"S. Boston City",,,636,"1,206",1,0,0,"1,843"
"Southampton County",,,"2,566","1,520",4,0,0,"4,090"
"Spotsylvania County",,,"2,097","1,261",9,0,0,"3,367"
"Stafford County",,,"2,469","1,888",7,0,0,"4,364"
"Staunton City",,,"2,705","2,969",6,0,0,"5,680"
"Suffolk City",,,"1,579","1,463",2,0,0,"3,044"
"Surry County",,,"1,131","1,004",5,0,0,"2,140"
"Sussex County",,,"1,234","1,537",4,0,0,"2,775"
"Tazewell County",,,"6,081","3,231",105,0,0,"9,417"
"Virginia Beach City",,,"12,892","10,529",21,0,0,"23,442"
"Warren County",,,"2,494","1,886",10,0,0,"4,390"
"Washington County",,,"5,070","4,146",10,0,0,"9,226"
"Waynesboro City",,,"2,369","2,107",55,0,0,"4,531"
"Westmoreland County",,,"1,312","1,181",6,0,0,"2,499"
"Williamsburg City",,,"1,171",906,16,0,0,"2,093"
"Winchester City",,,"2,254","2,180",3,0,0,"4,437"
"Wise County",,,"7,220","3,309",10,0,0,"10,539"
"Wythe County",,,"2,879","2,958",26,0,0,"5,863"
"York County",,,"3,385","2,992",12,0,0,"6,389"
TOTALS,,,"558,038","481,334","2,895",0,0,"1,042,267"
