County/City,Ward,Pct,"Richard Nixon","Hubert Humphrey","George E. Wallace","Henning Blomen","Dick Gregory","E. Harold Munn","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,"American Independent","Socialist Labor","Peace and Freedom",Prohibition
"Accomack County",,,"3,231","2,467","3,460",10,10,3,0,0,"9,181"
"Albemarle County",,,"4,512","2,255","1,657",4,10,3,0,0,"8,441"
"Alexandria City",,,"13,265","14,351","4,131",8,48,13,0,0,"31,816"
"Alleghany County",,,"1,649",988,"1,153",1,2,0,0,0,"3,793"
"Amelia County",,,857,830,832,2,4,3,0,0,"2,528"
"Amherst County",,,"2,656","1,543","2,449",18,7,1,0,0,"6,674"
"Appomattox County",,,"1,753",756,"1,512",6,8,2,0,0,"4,037"
"Arlington County",,,"28,163","26,107","6,746",163,131,16,0,0,"61,326"
"Augusta County",,,"6,313","2,028","2,483",61,9,6,0,0,"10,900"
"Bath County",,,872,494,529,2,0,0,0,0,"1,897"
"Bedford County",,,"2,807","1,574","3,316",138,2,3,0,0,"7,840"
"Bedford City",,,"1,047",569,679,82,2,1,0,0,"2,380"
"Bland County",,,938,560,361,1,2,0,0,0,"1,862"
"Botetourt County",,,"2,598","1,272","1,267",1,2,0,0,0,"5,140"
"Bristol City",,,"1,930","1,531",911,4,1,0,0,0,"4,377"
"Brunswick County",,,"1,139","1,910","2,088",5,3,2,0,0,"5,147"
"Buchanan County",,,"3,699","5,003","1,067",27,16,4,0,0,"9,816"
"Buckingham County",,,"1,027",984,"1,185",8,0,0,0,0,"3,204"
"Buena Vista City",,,814,387,456,0,2,1,0,0,"1,660"
"Campbell County",,,"5,731","1,996","4,425",648,8,3,0,0,"12,811"
"Caroline County",,,"1,162","2,165","1,084",7,7,1,0,0,"4,426"
"Carroll County",,,"4,909","1,773",958,5,4,2,0,0,"7,651"
"Charles City County",,,320,"1,457",176,1,4,2,0,0,"1,960"
"Charlotte County",,,"1,042","1,045","2,163",8,5,2,0,0,"4,265"
"Charlottesville City",,,"5,601","3,831","1,781",90,23,9,0,0,"11,335"
"Chesapeake City",,,"6,234","6,843","11,084",543,33,23,0,0,"24,760"
"Chesterfield County",,,"22,015","5,715","11,504",26,24,8,0,0,"39,292"
"Clarke County",,,"1,127",768,742,1,2,4,0,0,"2,644"
"Clifton Forge City",,,925,734,462,0,1,0,0,0,"2,122"
"Colonial Heights City",,,"2,650",650,"2,106",2,5,0,0,0,"5,413"
"Covington City",,,"1,551","1,195",846,1,2,0,0,0,"3,595"
"Craig County",,,581,419,256,1,1,0,0,0,"1,258"
"Culpeper County",,,"2,229","1,239","1,217",6,2,1,0,0,"4,694"
"Cumberland County",,,844,978,602,4,2,2,0,0,"2,432"
"Danville City",,,"6,796","4,495","5,391",156,24,12,0,0,"16,874"
"Dickenson County",,,"3,412","3,355",639,2,4,3,0,0,"7,415"
"Dinwiddie County",,,"1,451","1,551","2,245",4,2,4,0,0,"5,257"
"Emporia City",,,812,657,716,2,2,2,0,0,"2,191"
"Essex County",,,791,897,468,2,2,4,0,0,"2,164"
"Fairfax County",,,"57,462","44,796","14,805",54,186,16,0,0,"117,319"
"Fairfax City",,,"2,963","2,153",959,0,7,2,0,0,"6,084"
"Falls Church City",,,"2,005","1,860",504,1,11,1,0,0,"4,382"
