County/City,Ward,Pct,"Richard Nixon","George McGovern","John Schmitz","Louis Fischer","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,American,"Socialist Labor"
"Accomack County",,,"6,496","2,406",108,16,0,0,"9,026"
"Albemarle County",,,"8,447","4,303",139,62,0,0,"12,951"
"Alexandria City",,,"20,235","15,409",348,177,0,0,"36,169"
"Alleghany County",,,"2,584","1,069",170,7,0,0,"3,830"
"Amelia County",,,"1,606",778,58,29,0,0,"2,471"
"Amherst County",,,"4,909","1,512",148,70,0,0,"6,639"
"Appomattox County",,,"2,788",684,68,25,0,0,"3,565"
"Arlington County",,,"39,406","25,877",830,270,0,0,"66,383"
"Augusta County",,,"9,106","1,766",148,161,0,0,"11,181"
"Bath County",,,"1,127",462,43,4,0,0,"1,636"
"Bedford County",,,"5,286","1,501",358,54,0,0,"7,199"
"Bedford City",,,"1,407",529,89,38,0,0,"2,063"
"Bland County",,,"1,352",527,31,4,0,0,"1,914"
"Botetourt County",,,"3,806","1,519",121,35,0,0,"5,481"
"Bristol City",,,"2,665","1,157",54,17,0,0,"3,893"
"Brunswick County",,,"3,072","2,130",63,16,0,0,"5,281"
"Buchanan County",,,"4,801","3,566",95,92,0,0,"8,554"
"Buckingham County",,,"2,107","1,186",44,15,0,0,"3,352"
"Buena Vista City",,,990,373,22,24,0,0,"1,409"
"Campbell County",,,"11,676","2,055",288,138,0,0,"14,157"
"Caroline County",,,"2,086","1,814",32,19,0,0,"3,951"
"Carroll County",,,"5,247","1,583",90,69,0,0,"6,989"
"Charles City County",,,535,"1,177",14,9,0,0,"1,735"
"Charlotte County",,,"2,501","1,182",75,19,0,0,"3,777"
"Charlottesville City",,,"7,935","5,240",95,83,0,0,"13,353"
"Chesapeake City",,,"17,722","7,289",649,420,0,0,"26,080"
"Chesterfield County (CD 3)",,,"18,692","3,091",289,96,0,0,"22,168"
"Chesterfield County (CD 5)",,,"6,242",732,76,35,0,0,"7,085"
"Clarke County",,,"1,816",715,67,29,0,0,"2,627"
"Clifton Forge City",,,"1,127",575,68,14,0,0,"1,784"
"Colonial Heights City",,,"5,304",541,87,96,0,0,"6,028"
"Covington City",,,"1,910",948,113,27,0,0,"2,998"
"Craig County",,,774,425,19,2,0,0,"1,220"
"Culpeper County",,,"3,707","1,316",60,9,0,0,"5,092"
"Cumberland County",,,"1,371",969,22,12,0,0,"2,374"
"Danville City",,,"12,463","4,148",134,171,0,0,"16,916"
"Dickenson County",,,"3,633","2,711",62,56,0,0,"6,462"
"Dinwiddie County",,,"3,314","1,901",74,16,0,0,"5,305"
"Emporia City",,,"1,340",565,18,24,0,0,"1,947"
"Essex County",,,"1,482",808,44,34,0,0,"2,368"
"Fairfax City",,,"5,063","2,274",118,20,0,0,"7,475"
"Fairfax County (CD 10)",,,"58,811","31,161",938,288,0,0,"91,198"
"Fairfax County (CD 8)",,,"53,324","23,683",826,215,0,0,"78,048"
"Falls Church City",,,"2,967","1,895",67,14,0,0,"4,943"
"Fauquier County",,,"4,654","2,039",80,100,0,0,"6,873"
"Floyd County",,,"2,444",708,57,2,0,0,"3,211"
"Fluvanna County",,,"1,438",637,23,39,0,0,"2,137"
"Franklin County",,,"4,674","2,273",145,18,0,0,"7,110"
"Franklin City",,,"1,416",738,14,11,0,0,"2,179"
"Frederick County",,,"5,367","1,604",105,63,0,0,"7,139"
"Fredericksburg City",,,"3,211","1,702",34,29,0,0,"4,976"
"Galax City",,,"1,497",524,28,12,0,0,"2,061"
"Giles County",,,"3,671","1,869",78,88,0,0,"5,706"
"Gloucester County",,,"3,642","1,292",78,52,0,0,"5,064"
"Goochland County",,,"2,127","1,254",52,55,0,0,"3,488"
"Grayson County",,,"3,565","1,603",67,48,0,0,"5,283"
"Greene County",,,"1,208",318,15,3,0,0,"1,544"
"Greensville County",,,"1,608","1,197",46,18,0,0,"2,869"
"Halifax County",,,"5,469","2,384",77,29,0,0,"7,959"
"Hampton City",,,"21,897","10,648",479,411,0,0,"33,435"
"Hanover County",,,"11,095","2,200",237,131,0,0,"13,663"
"Harrisonburg City",,,"3,626",992,39,36,0,0,"4,693"
"Henrico County",,,"52,536","8,420",571,377,0,0,"61,904"
"Henry County",,,"7,556","4,042",170,256,0,0,"12,024"
"Highland County",,,774,206,12,5,0,0,997
"Hopewell City",,,"5,229","1,485",106,71,0,0,"6,891"
"Isle of Wight County",,,"3,555","2,305",119,19,0,0,"5,998"
"James City County",,,"3,372","1,992",56,21,0,0,"5,441"
"King and Queen County",,,"1,033",708,10,21,0,0,"1,772"
"King George County",,,"1,675",658,34,24,0,0,"2,391"
"King William County",,,"1,839",797,18,6,0,0,"2,660"
"Lancaster County",,,"2,683","1,009",35,18,0,0,"3,745"
"Lee County",,,"4,957","2,825",68,95,0,0,"7,945"
"Lexington City",,,"1,345",695,18,12,0,0,"2,070"
"Loudoun County",,,"9,417","3,941",190,9,0,0,"13,557"
"Louisa County",,,"2,545","1,338",56,66,0,0,"4,005"
"Lunenburg County",,,"2,464","1,044",45,11,0,0,"3,564"
"Lynchburg City",,,"13,259","4,208",264,159,0,0,"17,890"
"Madison County",,,"1,864",639,24,12,0,0,"2,539"
"Martinsville City",,,"3,879","2,292",39,116,0,0,"6,326"
"Mathews County",,,"2,164",730,51,42,0,0,"2,987"
"Mecklenburg County",,,"6,381","2,804",106,18,0,0,"9,309"
"Middlesex County",,,"1,697",724,24,4,0,0,"2,449"
"Montgomery County",,,"9,348","3,692",194,14,0,0,"13,248"
"Nansemond City",,,"5,767","3,929",186,84,0,0,"9,966"
"Nelson County",,,"2,145",954,82,10,0,0,"3,191"
"New Kent County",,,"1,370",633,19,7,0,0,"2,029"
"Newport News City",,,"27,169","12,233",639,271,0,0,"40,312"
"Norfolk City",,,"38,385","25,737","1,198",897,0,0,"66,217"
"Northampton County",,,"2,587","1,246",53,7,0,0,"3,893"
"Northumberland County",,,"2,332",884,28,14,0,0,"3,258"
"Norton City",,,823,463,12,15,0,0,"1,313"
"Nottoway County",,,"2,979","1,308",70,10,0,0,"4,367"
"Orange County",,,"2,758","1,032",42,37,0,0,"3,869"
"Page County",,,"4,326","1,585",61,8,0,0,"5,980"
"Patrick County",,,"2,951",942,100,30,0,0,"4,023"
"Petersburg City",,,"6,710","5,156",131,56,0,0,"12,053"
"Pittsylvania County",,,"12,108","4,429",174,26,0,0,"16,737"
"Portsmouth City",,,"20,090","13,124",760,376,0,0,"34,350"
"Powhatan County",,,"1,751",810,60,15,0,0,"2,636"
"Prince Edward County",,,"3,199","1,585",51,15,0,0,"4,850"
"Prince George County",,,"2,405","1,084",46,17,0,0,"3,552"
"Prince William County",,,"20,149","7,266",351,118,0,0,"27,884"
"Pulaski County",,,"6,281","2,311",114,16,0,0,"8,722"
"Radford City",,,"2,577","1,121",40,14,0,0,"3,752"
"Rappahannock County",,,"1,055",471,16,5,0,0,"1,547"
"Richmond County",,,"1,565",435,13,5,0,0,"2,018"
"Richmond City",,,"46,244","33,055",649,354,0,0,"80,302"
"Roanoke County",,,"19,920","5,318",474,66,0,0,"25,778"
"Roanoke City",,,"18,541","9,498",537,95,0,0,"28,671"
"Rockbridge County",,,"3,009",956,62,24,0,0,"4,051"
"Rockingham County",,,"10,025","2,026",143,81,0,0,"12,275"
"Russell County",,,"5,010","3,367",71,54,0,0,"8,502"
"Salem City",,,"5,649","1,744",136,24,0,0,"7,553"
"Scott County",,,"5,125","2,474",81,64,0,0,"7,744"
"Shenandoah County",,,"7,128","1,422",78,16,0,0,"8,644"
"Smyth County",,,"6,409","2,280",82,97,0,0,"8,868"
"S. Boston City",,,"1,865",709,7,24,0,0,"2,605"
"Southampton County",,,"3,225","1,498",66,18,0,0,"4,807"
"Spotsylvania County",,,"3,577","1,775",75,15,0,0,"5,442"
"Stafford County (CD 7)",,,"1,007",512,30,3,0,0,"1,552"
"Stafford County (CD 8)",,,"4,215","1,389",53,5,0,0,"5,662"
"Staunton City",,,"5,531","1,416",33,88,0,0,"7,068"
"Suffolk City",,,"2,137",898,29,9,0,0,"3,073"
"Surry County",,,"1,067",988,27,35,0,0,"2,117"
"Sussex County",,,"2,120","1,645",43,47,0,0,"3,855"
"Tazewell County",,,"7,233","3,181",107,146,0,0,"10,667"
"Virginia Beach City (CD 2)",,,"35,343","9,370",745,382,0,0,"45,840"
"Virginia Beach City (CD 4)",,,"2,731","1,003",92,67,0,0,"3,893"
"Warren County",,,"3,718","1,508",63,68,0,0,"5,357"
"Washington County",,,"8,805","3,028",123,155,0,0,"12,111"
"Waynesboro City",,,"4,163","1,061",72,58,0,0,"5,354"
"Westmoreland County",,,"2,331","1,113",27,61,0,0,"3,532"
"Williamsburg City",,,"1,786","1,274",29,19,0,0,"3,108"
"Winchester City",,,"4,647","1,418",55,31,0,0,"6,151"
"Wise County",,,"6,739","4,402",79,22,0,0,"11,242"
"Wythe County",,,"4,553","1,431",70,102,0,0,"6,156"
"York County",,,"7,745","2,302",211,83,0,0,"10,341"
TOTALS,,,"988,493","438,887","19,721","9,918",0,0,"1,457,019"
