County/City,Ward,Pct,"Gerald Ford","Jimmy Carter","Peter Camejo","John B. Anderson","Lyndon H. Larouche, Jr","Roger Lea MacBride","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,"Socialist Workers",American,"U.S. Labor",Libertarian
"Accomack County",,,"4,494","4,807",87,90,40,18,0,0,"9,536"
"Albemarle County",,,"9,084","7,310",22,58,49,109,0,0,"16,632"
"Alexandria City",,,"16,880","19,858",568,371,109,124,0,0,"37,910"
"Alleghany County",,,"1,756","2,462",14,19,9,5,0,0,"4,265"
"Amelia County",,,"1,634","1,715",9,56,36,8,0,0,"3,458"
"Amherst County",,,"3,956","3,675",23,44,49,29,0,0,"7,776"
"Appomattox County",,,"1,964","1,702",79,80,29,9,0,0,"3,863"
"Arlington County",,,"30,972","32,536",353,387,121,230,0,0,"64,599"
"Augusta County",,,"8,452","5,626",207,315,59,33,0,0,"14,692"
"Bath County",,,888,"1,029",2,8,3,2,0,0,"1,932"
"Bedford County",,,"4,189","4,766",121,135,24,11,0,0,"9,246"
"Bedford City",,,"1,043","1,122",67,51,6,5,0,0,"2,294"
"Bland County",,,"1,047",961,1,5,2,1,0,0,"2,017"
"Botetourt County",,,"3,343","4,021",83,70,38,18,0,0,"7,573"
"Bristol City",,,"2,943","3,343",10,23,25,17,0,0,"6,361"
"Brunswick County",,,"2,387","3,071",56,41,59,54,0,0,"5,668"
"Buchanan County",,,"3,850","5,791",592,367,104,24,0,0,"10,728"
"Buckingham County",,,"1,487","2,179",20,27,30,15,0,0,"3,758"
"Buena Vista City",,,771,993,47,21,18,3,0,0,"1,853"
"Campbell County",,,"7,442","4,354",156,199,65,29,0,0,"12,245"
"Caroline County",,,"1,648","3,064",23,21,27,13,0,0,"4,796"
"Carroll County",,,"4,820","4,010",15,48,58,17,0,0,"8,968"
"Charles City County",,,439,"1,455",18,12,19,8,0,0,"1,951"
"Charlotte County",,,"2,023","2,312",12,34,10,3,0,0,"4,394"
"Charlottesville City",,,"6,673","6,846",110,105,54,81,0,0,"13,869"
"Chesapeake City",,,"12,851","17,651",870,576,143,66,0,0,"32,157"
"Chesterfield County (CD 3)",,,"19,044","11,001",52,128,128,84,0,0,"30,437"
"Chesterfield County (CD 5)",,,"8,768","3,125",15,40,25,26,0,0,"11,999"
"Clarke County",,,"1,440","1,276",14,19,34,11,0,0,"2,794"
"Clifton Forge City",,,770,993,61,53,13,3,0,0,"1,893"
"Colonial Heights City",,,"4,291","2,409",46,133,39,16,0,0,"6,934"
"Covington City",,,"1,173","1,820",103,47,18,4,0,0,"3,165"
"Craig County",,,546,"1,103",0,11,1,6,0,0,"1,667"
"Culpeper County",,,"3,659","2,892",46,56,22,21,0,0,"6,696"
"Cumberland County",,,"1,284","1,302",78,55,16,22,0,0,"2,757"
"Danville City",,,"10,235","6,425",198,231,95,28,0,0,"17,212"
"Dickenson County",,,"3,471","4,583",21,51,73,10,0,0,"8,209"
"Dinwiddie County",,,"2,413","3,873",52,32,76,27,0,0,"6,473"
"Emporia City",,,"1,055",899,13,13,30,10,0,0,"2,020"
"Essex County",,,"1,380","1,306",10,19,12,3,0,0,"2,730"
"Fairfax City",,,"4,174","3,464",68,84,9,24,0,0,"7,823"
"Fairfax County (CD 10)",,,"58,154","49,335",616,698,160,373,0,0,"109,336"
"Fairfax County (CD 8)",,,"52,270","42,702",653,560,163,273,0,0,"96,621"
"Falls Church City",,,"2,323","2,202",9,27,9,18,0,0,"4,588"
"Fauquier County",,,"4,715","4,002",179,162,31,22,0,0,"9,111"
"Floyd County",,,"2,071","1,728",22,44,47,13,0,0,"3,925"
"Fluvanna County",,,"1,296","1,415",11,10,23,15,0,0,"2,770"
"Franklin County",,,"3,532","6,439",66,55,70,37,0,0,"10,199"
"Franklin City",,,"1,127","1,116",7,10,19,11,0,0,"2,290"
"Frederick County",,,"5,162","3,389",15,54,30,22,0,0,"8,672"
"Fredericksburg City",,,"2,527","2,550",10,11,33,19,0,0,"5,150"
"Galax City",,,"1,128","1,218",5,8,6,5,0,0,"2,370"
"Giles County",,,"2,731","3,779",81,71,55,22,0,0,"6,739"
"Gloucester County",,,"3,025","3,156",104,61,39,19,0,0,"6,404"
"Goochland County",,,"2,104","2,259",33,20,22,17,0,0,"4,455"
"Grayson County",,,"3,021","3,146",17,25,36,6,0,0,"6,251"
"Greene County",,,"1,095",895,55,58,13,14,0,0,"2,130"
"Greensville County",,,"1,137","2,413",25,26,36,9,0,0,"3,646"
"Halifax County",,,"4,045","4,352",108,103,70,19,0,0,"8,697"
"Hampton City",,,"15,021","19,202","1,033",583,117,92,0,0,"36,048"
"Hanover County",,,"11,559","6,069",25,92,77,37,0,0,"17,859"
"Harrisonburg City",,,"3,376","1,803",53,86,19,21,0,0,"5,358"
"Henrico County",,,"45,405","21,729",627,909,162,149,0,0,"68,981"
"Henry County",,,"5,612","9,680",379,233,95,25,0,0,"16,024"
"Highland County",,,629,493,1,7,1,1,0,0,"1,132"
"Hopewell City",,,"3,764","3,691",179,99,53,21,0,0,"7,807"
"Isle of Wight County",,,"2,718","4,145",40,40,50,16,0,0,"7,009"
"James City County",,,"3,186","3,000",159,67,23,19,0,0,"6,454"
"King and Queen County",,,778,"1,111",27,19,39,18,0,0,"1,992"
"King George County",,,"1,383","1,513",9,24,16,13,0,0,"2,958"
"King William County",,,"1,597","1,501",6,11,22,19,0,0,"3,156"
"Lancaster County",,,"2,381","1,581",40,40,26,6,0,0,"4,074"
"Lee County",,,"4,679","5,415",34,38,97,21,0,0,"10,284"
"Lexington City",,,"1,027",945,32,22,4,5,0,0,"2,035"
"Loudoun County",,,"9,192","7,995",205,262,47,47,0,0,"17,748"
"Louisa County",,,"2,151","2,857",19,21,69,18,0,0,"5,135"
"Lunenburg County",,,"1,816","1,739",30,54,8,5,0,0,"3,652"
"Lynchburg City (CD 5)",,,"3,213","1,391",83,82,16,10,0,0,"4,795"
"Lynchburg City (CD 6)",,,"11,351","6,836",329,373,78,42,0,0,"19,009"
"Madison County",,,"1,710","1,466",19,21,6,6,0,0,"3,228"
"Manassas City",,,"1,992","1,646",50,37,5,7,0,0,"3,737"
"Manassas Park City",,,444,709,7,19,10,0,0,0,"1,189"
"Martinsville City",,,"3,147","3,491",144,101,34,18,0,0,"6,935"
"Mathews County",,,"1,908","1,309",21,31,26,8,0,0,"3,303"
"Mecklenburg County",,,"4,423","4,076",77,85,78,30,0,0,"8,769"
"Middlesex County",,,"1,608","1,312",38,50,18,13,0,0,"3,039"
"Montgomery County",,,"7,971","7,539",43,53,64,72,0,0,"15,742"
"Nelson County",,,"1,516","2,426",12,20,34,19,0,0,"4,027"
"New Kent County",,,"1,259","1,338",9,14,17,7,0,0,"2,644"
"Newport News City",,,"20,914","23,058",76,173,186,85,0,0,"44,492"
"Norfolk City",,,"28,099","39,295","1,543",986,308,171,0,0,"70,402"
"Northampton County",,,"2,043","2,459",116,67,31,19,0,0,"4,735"
"Northumberland County",,,"2,167","1,814",59,41,32,13,0,0,"4,126"
"Norton City",,,577,811,17,14,6,5,0,0,"1,430"
"Nottoway County",,,"2,486","2,558",77,62,29,10,0,0,"5,222"
"Orange County",,,"2,549","2,309",127,100,49,27,0,0,"5,161"
"Page County",,,"3,780","3,401",29,49,47,31,0,0,"7,337"
"Patrick County",,,"2,349","2,740",104,131,47,6,0,0,"5,377"
"Petersburg City",,,"5,041","7,852",31,59,70,29,0,0,"13,082"
"Pittsylvania County",,,"9,173","7,929",333,315,129,34,0,0,"17,913"
"Poquoson City",,,"1,461","1,140",5,14,13,7,0,0,"2,640"
"Portsmouth City",,,"12,872","22,837",80,169,216,72,0,0,"36,246"
"Powhatan County",,,"2,010","1,528",9,46,31,12,0,0,"3,636"
"Prince Edward County",,,"2,734","2,448",86,71,62,28,0,0,"5,429"
"Prince George County",,,"2,254","2,630",19,18,27,12,0,0,"4,960"
"Prince William County",,,"15,446","15,215",323,405,54,81,0,0,"31,524"
"Pulaski County",,,"4,764","5,546",87,106,96,25,0,0,"10,624"
"Radford City",,,"1,844","2,240",12,6,14,6,0,0,"4,122"
"Rappahannock County",,,881,"1,071",8,11,5,5,0,0,"1,981"
"Richmond County",,,"1,391",864,8,11,11,3,0,0,"2,288"
"Richmond City",,,"37,176","44,687",253,255,430,309,0,0,"83,110"
"Roanoke County",,,"13,587","13,120",25,100,57,59,0,0,"26,948"
"Roanoke City",,,"14,738","20,696",141,162,137,75,0,0,"35,949"
"Rockbridge County",,,"2,157","2,525",116,100,31,11,0,0,"4,940"
"Rockingham County",,,"9,768","5,349",195,344,77,56,0,0,"15,789"
"Russell County",,,"4,287","6,014",185,124,48,9,0,0,"10,667"
"Salem City",,,"4,196","4,404",11,47,19,13,0,0,"8,690"
"Scott County",,,"4,313","4,496",319,279,74,13,0,0,"9,494"
"Shenandoah County",,,"6,296","3,364",27,62,54,27,0,0,"9,830"
"Smyth County",,,"5,032","5,246",144,164,39,16,0,0,"10,641"
"S. Boston City",,,"1,389","1,001",4,10,22,12,0,0,"2,438"
"Southampton County",,,"2,366","3,399",17,33,61,13,0,0,"5,889"
"Spotsylvania County",,,"3,210","4,210",16,38,73,13,0,0,"7,560"
"Stafford County (CD 7)",,,"3,625","3,529",12,41,40,17,0,0,"7,264"
"Stafford County (CD 8)",,,826,"1,371",7,13,15,6,0,0,"2,238"
"Staunton City",,,"4,681","2,951",89,95,28,19,0,0,"7,863"
"Suffolk City",,,"6,066","9,246",49,68,147,33,0,0,"15,609"
"Surry County",,,929,"1,829",26,14,19,16,0,0,"2,833"
"Sussex County",,,"1,360","2,497",112,73,45,7,0,0,"4,094"
"Tazewell County",,,"5,565","7,565",94,105,92,18,0,0,"13,439"
"Virginia Beach City (CD 2)",,,"32,162","23,199","1,413","1,011",151,154,0,0,"58,090"
"Virginia Beach City (CD 4)",,,"2,431","2,625",194,132,24,22,0,0,"5,428"
"Warren County",,,"2,985","3,221",139,109,45,18,0,0,"6,517"
"Washington County",,,"6,865","6,547",287,199,95,22,0,0,"14,015"
"Waynesboro City",,,"3,528","2,209",75,80,14,9,0,0,"5,915"
"Westmoreland County",,,"1,909","2,355",152,111,32,9,0,0,"4,568"
"Williamsburg City",,,"1,654","1,468",20,27,7,19,0,0,"3,195"
"Winchester City",,,"4,075","2,346",9,28,17,9,0,0,"6,484"
"Wise County",,,"5,691","7,134",233,181,90,22,0,0,"13,351"
"Wythe County",,,"4,231","3,578",185,159,79,9,0,0,"8,241"
"York County",,,"5,603","4,736",16,37,33,26,0,0,"10,451"
TOTALS,,,"836,554","813,896","17,802","16,686","7,508","4,648",0,0,"1,697,094"
