County/City,Ward,Pct,"Ronald W. Reagan","Jimmy Carter","John B. Anderson","Barry Commoner","Edward E. Clark","Clifton Deberry","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,Independent,Libertarian,Independent
"Accomack County",,,"5,371","4,872",292,78,73,12,0,0,"10,698"
"Albemarle County",,,"10,424","7,293","1,435",140,282,8,0,0,"19,582"
"Alexandria City",,,"17,865","17,134","4,546",458,326,59,0,0,"40,388"
"Alleghany County",,,"2,185","2,411",116,16,26,2,0,0,"4,756"
"Amelia County",,,"1,969","1,643",52,8,23,6,0,0,"3,701"
"Amherst County",,,"5,088","3,476",208,20,45,3,0,0,"8,840"
"Appomattox County",,,"2,548","1,492",85,64,23,5,0,0,"4,217"
"Arlington County",,,"30,854","26,502","8,042",652,744,67,0,0,"66,861"
"Augusta County",,,"11,011","5,202",539,254,100,14,0,0,"17,120"
"Bath County",,,921,999,70,1,16,0,0,0,"2,007"
"Bedford County",,,"6,608","4,721",336,90,66,19,0,0,"11,840"
"Bedford City",,,"1,145","1,149",75,32,20,2,0,0,"2,423"
"Bland County",,,"1,278","1,002",35,16,11,3,0,0,"2,345"
"Botetourt County",,,"4,408","3,698",329,86,71,10,0,0,"8,602"
"Bristol City",,,"3,432","2,889",160,3,31,0,0,0,"6,515"
"Brunswick County",,,"2,310","3,430",70,22,26,6,0,0,"5,864"
"Buchanan County",,,"4,554","5,768",95,167,37,8,0,0,"10,629"
"Buckingham County",,,"1,864","1,933",77,22,20,7,0,0,"3,923"
"Buena Vista City",,,942,"1,031",59,38,12,7,0,0,"2,089"
"Campbell County",,,"9,592","4,473",396,167,75,18,0,0,"14,721"
"Caroline County",,,"2,071","2,924",116,15,27,1,0,0,"5,154"
"Carroll County",,,"5,905","3,437",183,37,63,9,0,0,"9,634"
"Charles City County",,,506,"1,564",39,7,10,5,0,0,"2,131"
"Charlotte County",,,"2,322","2,108",59,25,8,8,0,0,"4,530"
"Charlottesville City",,,"5,907","6,866","1,377",245,148,19,0,0,"14,562"
"Chesapeake City",,,"17,888","17,155","1,189",388,216,68,0,0,"36,904"
"Chesterfield County (CD 3)",,,"24,730","9,828","1,246",70,249,11,0,0,"36,134"
"Chesterfield County (CD 5)",,,"13,178","3,232",936,23,104,6,0,0,"17,479"
"Clarke County",,,"1,876","1,156",177,14,40,3,0,0,"3,266"
"Clifton Forge City",,,716,"1,012",68,21,6,2,0,0,"1,825"
"Colonial Heights City",,,"5,012","1,692",219,99,38,3,0,0,"7,063"
"Covington City",,,"1,187","1,813",101,27,13,9,0,0,"3,150"
"Craig County",,,768,946,41,5,18,1,0,0,"1,779"
"Culpeper County",,,"4,312","2,519",231,127,55,11,0,0,"7,255"
"Cumberland County",,,"1,515","1,355",51,74,19,10,0,0,"3,024"
"Danville City",,,"10,665","6,138",296,198,56,9,0,0,"17,362"
"Dickenson County",,,"3,687","4,177",77,16,31,7,0,0,"7,995"
"Dinwiddie County",,,"3,369","3,475",107,27,30,10,0,0,"7,018"
"Emporia City",,,988,855,41,7,8,3,0,0,"1,902"
"Essex County",,,"1,581","1,280",76,26,20,4,0,0,"2,987"
"Fairfax City",,,"4,475","2,614",800,42,65,8,0,0,"8,004"
"Fairfax County (CD 10)",,,"70,438","39,163","13,348",796,"1,081",131,0,0,"124,957"
"Fairfax County (CD 8)",,,"67,182","34,571","11,257",761,852,125,0,0,"114,748"
"Falls Church City",,,"2,485","1,703",497,26,45,2,0,0,"4,758"
"Fauquier County",,,"6,782","4,119",548,113,93,15,0,0,"11,670"
"Floyd County",,,"2,447","1,642",131,59,42,2,0,0,"4,323"
"Fluvanna County",,,"1,605","1,424",108,17,28,2,0,0,"3,184"
"Franklin County",,,"4,993","5,685",304,40,63,5,0,0,"11,090"
"Franklin City",,,"1,045","1,324",62,5,15,5,0,0,"2,456"
"Frederick County",,,"7,293","2,948",455,26,62,3,0,0,"10,787"
"Fredericksburg City",,,"2,502","2,174",245,9,34,4,0,0,"4,968"
"Galax City",,,"1,188","1,061",31,3,6,4,0,0,"2,293"
"Giles County",,,"2,978","3,627",211,54,63,7,0,0,"6,940"
"Gloucester County",,,"4,261","3,138",354,76,56,12,0,0,"7,897"
"Goochland County",,,"2,423","2,290",113,11,32,8,0,0,"4,877"
"Grayson County",,,"3,494","2,875",106,26,39,7,0,0,"6,547"
"Greene County",,,"1,702",925,105,47,22,10,0,0,"2,811"
"Greensville County",,,"1,583","2,142",39,18,12,6,0,0,"3,800"
"Halifax County",,,"5,088","4,528",125,57,30,8,0,0,"9,836"
"Hampton City",,,"17,023","18,517","1,598",329,234,64,0,0,"37,765"
"Hanover County",,,"14,262","5,383",589,32,99,3,0,0,"20,368"
"Harrisonburg City",,,"3,388","1,896",403,61,39,9,0,0,"5,796"
"Henrico County",,,"50,505","21,023","2,956",595,422,50,0,0,"75,551"
"Henry County",,,"8,258","8,800",355,247,103,20,0,0,"17,783"
"Highland County",,,751,487,25,10,5,0,0,0,"1,278"
"Hopewell City",,,"4,423","3,102",178,97,57,15,0,0,"7,872"
"Isle of Wight County",,,"3,526","3,951",197,35,64,11,0,0,"7,784"
"James City County",,,"4,289","3,068",551,71,55,14,0,0,"8,048"
"King and Queen County",,,949,"1,128",43,5,21,4,0,0,"2,150"
"King George County",,,"1,784","1,318",185,7,35,3,0,0,"3,332"
"King William County",,,"2,036","1,446",80,14,24,1,0,0,"3,601"
"Lancaster County",,,"2,780","1,567",106,69,24,11,0,0,"4,557"
"Lee County",,,"4,417","4,758",137,28,33,4,0,0,"9,377"
"Lexington City",,,956,963,129,16,19,0,0,0,"2,083"
"Loudoun County",,,"12,076","6,694","1,312",201,166,43,0,0,"20,492"
"Louisa County",,,"2,633","2,809",160,38,58,8,0,0,"5,706"
"Lunenburg County",,,"2,045","1,958",59,55,8,11,0,0,"4,136"
"Lynchburg City (CD 5)",,,"3,645","1,306",200,83,24,8,0,0,"5,266"
"Lynchburg City (CD 6)",,,"11,600","6,477",654,290,104,26,0,0,"19,151"
"Madison County",,,"1,959","1,351",156,27,27,1,0,0,"3,521"
"Manassas City",,,"3,009","1,565",318,23,31,6,0,0,"4,952"
"Manassas Park City",,,729,447,52,7,19,0,0,0,"1,254"
"Martinsville City",,,"3,433","3,337",162,70,22,8,0,0,"7,032"
"Mathews County",,,"2,204","1,300",148,37,19,8,0,0,"3,716"
"Mecklenburg County",,,"4,853","3,790",142,81,32,15,0,0,"8,913"
"Middlesex County",,,"1,810","1,395",90,25,15,9,0,0,"3,344"
"Montgomery County",,,"8,222","7,455","1,400",93,161,13,0,0,"17,344"
"Nelson County",,,"1,866","2,410",143,35,41,1,0,0,"4,496"
"New Kent County",,,"1,739","1,204",68,9,15,0,0,0,"3,035"
"Newport News City",,,"22,423","22,066","2,068",114,268,43,0,0,"46,982"
"Norfolk City",,,"27,506","35,118","3,333",623,488,132,0,0,"67,200"
"Northampton County",,,"2,165","2,363",114,53,34,14,0,0,"4,743"
"Northumberland County",,,"2,598","1,551",109,42,20,10,0,0,"4,330"
"Norton City",,,572,762,42,12,11,1,0,0,"1,400"
"Nottoway County",,,"2,813","2,593",113,63,22,7,0,0,"5,611"
"Orange County",,,"3,381","2,420",241,54,58,4,0,0,"6,158"
"Page County",,,"4,297","2,607",161,27,41,5,0,0,"7,138"
"Patrick County",,,"3,436","2,382",105,154,35,11,0,0,"6,123"
"Petersburg City",,,"5,001","7,931",254,21,63,7,0,0,"13,277"
"Pittsylvania County",,,"12,022","7,653",250,275,54,26,0,0,"20,280"
"Poquoson City",,,"2,338",877,158,5,21,0,0,0,"3,399"
"Portsmouth City",,,"13,660","20,900","1,124",79,171,15,0,0,"35,949"
"Powhatan County",,,"2,933","1,484",98,9,39,7,0,0,"4,570"
"Prince Edward County",,,"2,774","2,553",137,82,41,11,0,0,"5,598"
"Prince George County",,,"3,389","2,310",130,12,40,7,0,0,"5,888"
"Prince William County",,,"23,061","12,787","2,676",226,313,56,0,0,"39,119"
"Pulaski County",,,"5,747","5,769",343,92,81,8,0,0,"12,040"
"Radford City",,,"1,964","2,225",233,18,21,2,0,0,"4,463"
"Rappahannock County",,,"1,179","1,055",99,11,21,2,0,0,"2,367"
"Richmond County",,,"1,567",854,49,8,14,3,0,0,"2,495"
"Richmond City",,,"34,629","47,975","3,502",330,625,45,0,0,"87,106"
"Roanoke County",,,"17,182","12,114","1,286",45,180,7,0,0,"30,814"
"Roanoke City",,,"15,164","18,139","1,350",75,207,11,0,0,"34,946"
"Rockbridge County",,,"2,784","2,475",296,62,54,6,0,0,"5,677"
"Rockingham County",,,"11,397","5,294",771,233,143,21,0,0,"17,859"
"Russell County",,,"4,778","5,764",125,159,38,10,0,0,"10,874"
"Salem City",,,"4,862","4,091",359,17,50,10,0,0,"9,389"
"Scott County",,,"4,744","4,314",153,145,27,4,0,0,"9,387"
"Shenandoah County",,,"7,517","3,137",385,59,95,10,0,0,"11,203"
"Smyth County",,,"6,033","5,335",224,190,64,15,0,0,"11,861"
"S. Boston City",,,"1,615",971,51,5,6,1,0,0,"2,649"
"Southampton County",,,"2,997","3,347",163,24,49,7,0,0,"6,587"
"Spotsylvania County",,,"5,385","4,039",464,29,72,16,0,0,"10,005"
"Stafford County (CD 7)",,,"5,276","2,961",478,23,74,5,0,0,"8,817"
"Stafford County (CD 8)",,,"1,830","1,250",145,5,26,2,0,0,"3,258"
"Staunton City",,,"4,819","2,658",311,89,42,8,0,0,"7,927"
"Suffolk City",,,"7,179","9,064",360,56,98,8,0,0,"16,765"
"Surry County",,,962,"1,756",63,9,24,7,0,0,"2,821"
"Sussex County",,,"1,664","2,447",86,31,26,19,0,0,"4,273"
"Tazewell County",,,"7,021","7,003",225,110,61,5,0,0,"14,425"
"Virginia Beach City (CD 2)",,,"43,623","22,046","4,395",650,586,116,0,0,"71,416"
"Virginia Beach City (CD 4)",,,"4,313","2,849",435,40,178,4,0,0,"7,819"
"Warren County",,,"3,861","2,597",297,104,46,15,0,0,"6,920"
"Washington County",,,"8,402","6,390",382,320,79,24,0,0,"15,597"
"Waynesboro City",,,"3,697","1,926",255,72,23,5,0,0,"5,978"
"Westmoreland County",,,"2,510","2,271",133,44,24,7,0,0,"4,989"
"Williamsburg City",,,"1,344","1,199",340,41,26,3,0,0,"2,953"
"Winchester City",,,"4,240","2,006",320,18,34,5,0,0,"6,623"
"Wise County",,,"5,767","6,779",258,267,50,20,0,0,"13,141"
"Wythe County",,,"4,758","3,677",164,95,61,11,0,0,"8,766"
"York County",,,"6,744","4,532",723,36,95,3,0,0,"12,133"
TOTALS,,,"989,609","752,174","95,418","14,024","12,821","1,986",0,0,"1,866,032"
