County/City,Ward,Pct,"Ronald W. Reagan","Walter F. Mondale","Lyndon H. Larouche, Jr","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent
"Accomack County",,,"8,047","4,355",64,0,0,"12,466"
"Albemarle County",,,"14,455","7,982",93,0,0,"22,530"
"Alexandria City",,,"21,166","23,552",535,0,0,"45,253"
"Alleghany County",,,"3,067","1,932",38,0,0,"5,037"
"Amelia County",,,"2,336","1,432",36,0,0,"3,804"
"Amherst County",,,"7,004","3,409",117,0,0,"10,530"
"Appomattox County",,,"3,386","1,498",48,0,0,"4,932"
"Arlington County",,,"34,848","37,031",363,0,0,"72,242"
"Augusta County",,,"15,308","3,899",116,0,0,"19,323"
"Bath County",,,"1,434",727,14,0,0,"2,175"
"Bedford County",,,"10,371","4,754",92,0,0,"15,217"
"Bedford City",,,"1,553",997,23,0,0,"2,573"
"Bland County",,,"1,812",867,14,0,0,"2,693"
"Botetourt County",,,"5,959","3,243",87,0,0,"9,289"
"Bristol City",,,"5,012","2,429",27,0,0,"7,468"
"Brunswick County",,,"2,950","3,040",83,0,0,"6,073"
"Buchanan County",,,"5,053","7,828",172,0,0,"13,053"
"Buckingham County",,,"2,627","1,879",74,0,0,"4,580"
"Buena Vista City",,,"1,335",724,14,0,0,"2,073"
"Campbell County",,,"13,388","4,380",156,0,0,"17,924"
"Caroline County",,,"2,949","3,111",78,0,0,"6,138"
"Carroll County",,,"7,056","2,914",72,0,0,"10,042"
"Charles City County",,,776,"1,776",32,0,0,"2,584"
"Charlotte County",,,"2,999","1,811",46,0,0,"4,856"
"Charlottesville City",,,"6,947","7,317",42,0,0,"14,306"
"Chesapeake City",,,"27,542","16,740",402,0,0,"44,684"
"Chesterfield County (CD 3)",,,"52,994","12,566",163,0,0,"65,723"
"Chesterfield County (CD 4)",,,"1,902","1,173",13,0,0,"3,088"
"Clarke County",,,"2,529","1,215",19,0,0,"3,763"
"Clifton Forge City",,,965,896,15,0,0,"1,876"
"Colonial Heights City",,,"6,387","1,218",25,0,0,"7,630"
"Covington City",,,"1,722","1,391",49,0,0,"3,162"
"Craig County",,,"1,173",845,15,0,0,"2,033"
"Culpeper County",,,"5,596","2,255",75,0,0,"7,926"
"Cumberland County",,,"2,027","1,237",65,0,0,"3,329"
"Danville City",,,"12,141","5,846",174,0,0,"18,161"
"Dickenson County",,,"3,921","4,848",75,0,0,"8,844"
"Dinwiddie County",,,"4,547","3,485",82,0,0,"8,114"
"Emporia City",,,"1,252",807,19,0,0,"2,078"
"Essex County",,,"2,120","1,300",20,0,0,"3,440"
"Fairfax City",,,"6,234","3,263",41,0,0,"9,538"
"Fairfax County (CD 10)",,,"92,976","55,992",421,0,0,"149,389"
"Fairfax County (CD 8)",,,"90,205","51,303",401,0,0,"141,909"
"Falls Church City",,,"2,684","2,398",19,0,0,"5,101"
"Fauquier County",,,"10,319","4,056",76,0,0,"14,451"
"Floyd County",,,"3,431","1,599",39,0,0,"5,069"
"Fluvanna County",,,"2,247","1,332",33,0,0,"3,612"
"Franklin County",,,"7,684","4,903",175,0,0,"12,762"
"Franklin City",,,"1,561","1,537",32,0,0,"3,130"
"Frederick County",,,"9,542","2,671",54,0,0,"12,267"
"Fredericksburg City",,,"3,500","2,439",34,0,0,"5,973"
"Galax City",,,"1,548",814,13,0,0,"2,375"
"Giles County",,,"4,340","3,047",73,0,0,"7,460"
"Gloucester County",,,"7,109","2,830",86,0,0,"10,025"
"Goochland County",,,"3,404","2,178",35,0,0,"5,617"
"Grayson County",,,"4,508","2,319",63,0,0,"6,890"
"Greene County",,,"2,216",760,24,0,0,"3,000"
"Greensville County",,,"2,304","2,352",116,0,0,"4,772"
"Halifax County",,,"6,726","4,231",146,0,0,"11,103"
"Hampton City",,,"25,537","18,180",351,0,0,"44,068"
"Hanover County",,,"18,800","4,831",87,0,0,"23,718"
"Harrisonburg City",,,"5,221","2,384",56,0,0,"7,661"
"Henrico County",,,"63,864","21,336",248,0,0,"85,448"
"Henry County",,,"12,693","6,976",237,0,0,"19,906"
"Highland County",,,997,398,11,0,0,"1,406"
"Hopewell City",,,"5,661","2,564",67,0,0,"8,292"
