County/City,Ward,Pct,"George H. Bush","Michael S. Dukakis","Lenora Fulani","Ron Paul","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,Libertarian
"Accomack County",,,"6,926","4,443",125,48,0,0,"11,542"
"Albemarle County",,,"15,117","10,363",89,184,0,0,"25,753"
"Alexandria City",,,"20,913","24,358",347,186,0,0,"45,804"
"Alleghany County",,,"2,555","2,316",42,13,0,0,"4,926"
"Amelia County",,,"2,187","1,359",26,22,0,0,"3,594"
"Amherst County",,,"6,507","3,567",45,32,0,0,"10,151"
"Appomattox County",,,"3,205","1,740",53,42,0,0,"5,040"
"Arlington County",,,"34,191","40,314",442,418,0,0,"75,365"
"Augusta County",,,"13,251","4,170",145,68,0,0,"17,634"
"Bath County",,,"1,273",881,8,5,0,0,"2,167"
"Bedford County",,,"10,702","5,406",205,69,0,0,"16,382"
"Bedford City",,,"1,322",960,36,10,0,0,"2,328"
"Bland County",,,"1,556",937,38,15,0,0,"2,546"
"Botetourt County",,,"5,687","3,763",92,49,0,0,"9,591"
"Bristol City",,,"4,407","2,446",28,14,0,0,"6,895"
"Brunswick County",,,"2,742","3,070",44,28,0,0,"5,884"
"Buchanan County",,,"3,912","6,935",100,18,0,0,"10,965"
"Buckingham County",,,"2,481","1,941",32,17,0,0,"4,471"
"Buena Vista City",,,"1,121",828,37,13,0,0,"1,999"
"Campbell County",,,"12,713","4,574",193,53,0,0,"17,533"
"Caroline County",,,"3,065","3,186",21,20,0,0,"6,292"
"Carroll County",,,"6,377","3,190",41,29,0,0,"9,637"
"Charles City County",,,826,"1,839",18,17,0,0,"2,700"
"Charlotte County",,,"2,699","1,923",56,21,0,0,"4,699"
"Charlottesville City",,,"5,817","7,671",62,102,0,0,"13,652"
"Chesapeake City",,,"29,738","18,828",173,116,0,0,"48,855"
"Chesterfield County (CD 3)",,,"57,163","17,543",244,260,0,0,"75,210"
"Chesterfield County (CD 4)",,,"1,665","1,180",18,10,0,0,"2,873"
"Clarke County",,,"2,502","1,478",12,28,0,0,"4,020"
"Clifton Forge City",,,759,961,10,9,0,0,"1,739"
"Colonial Heights City",,,"6,001","1,581",25,31,0,0,"7,638"
"Covington City",,,"1,274","1,567",41,33,0,0,"2,915"
"Craig County",,,"1,112",864,16,13,0,0,"2,005"
"Culpeper County",,,"5,896","2,555",103,45,0,0,"8,599"
"Cumberland County",,,"1,978","1,132",34,15,0,0,"3,159"
"Danville City",,,"12,221","7,353",224,76,0,0,"19,874"
"Dickenson County",,,"3,091","4,461",36,16,0,0,"7,604"
"Dinwiddie County",,,"4,165","3,405",51,38,0,0,"7,659"
"Emporia City",,,"1,289",977,7,4,0,0,"2,277"
"Essex County",,,"2,038","1,294",17,16,0,0,"3,365"
"Fairfax City",,,"5,576","3,430",49,46,0,0,"9,101"
"Fairfax County (CD 10)",,,"100,526","65,549",472,626,0,0,"167,173"
"Fairfax County (CD 8)",,,"100,115","60,162",420,495,0,0,"161,192"
"Falls Church City",,,"2,470","2,484",17,18,0,0,"4,989"
"Fauquier County",,,"11,733","4,837",161,65,0,0,"16,796"
"Floyd County",,,"2,921","1,727",56,31,0,0,"4,735"
"Fluvanna County",,,"2,447","1,562",26,24,0,0,"4,059"
"Franklin County",,,"7,391","5,734",90,46,0,0,"13,261"
"Franklin City",,,"1,557","1,630",12,11,0,0,"3,210"
"Frederick County",,,"9,921","3,707",42,47,0,0,"13,717"
"Fredericksburg City",,,"3,401","2,683",40,30,0,0,"6,154"
"Galax City",,,"1,278",907,8,7,0,0,"2,200"
"Giles County",,,"3,490","3,042",80,36,0,0,"6,648"
"Gloucester County",,,"7,646","3,372",116,47,0,0,"11,181"
"Goochland County",,,"3,765","2,209",20,19,0,0,"6,013"
"Grayson County",,,"3,968","2,441",35,7,0,0,"6,451"
"Greene County",,,"2,234",899,72,19,0,0,"3,224"
"Greensville County",,,"1,610","2,083",24,16,0,0,"3,733"
"Halifax County",,,"5,671","4,282",97,74,0,0,"10,124"
"Hampton City",,,"24,034","19,106",527,151,0,0,"43,818"
"Hanover County",,,"20,570","5,985",75,88,0,0,"26,718"
"Harrisonburg City",,,"5,376","2,799",84,29,0,0,"8,288"
"Henrico County",,,"62,284","26,980",378,245,0,0,"89,887"
"Henry County",,,"10,871","7,536",258,64,0,0,"18,729"
"Highland County",,,807,456,13,10,0,0,"1,286"
"Hopewell City",,,"4,672","2,566",93,29,0,0,"7,360"
"Isle of Wight County",,,"5,779","3,747",63,32,0,0,"9,621"
"James City County",,,"8,945","4,642",124,62,0,0,"13,773"
"King and Queen County",,,"1,376","1,309",26,16,0,0,"2,727"
"King George County",,,"2,587","1,519",21,19,0,0,"4,146"
"King William County",,,"2,735","1,561",31,22,0,0,"4,349"
"Lancaster County",,,"3,380","1,551",84,28,0,0,"5,043"
"Lee County",,,"4,080","4,906",30,29,0,0,"9,045"
"Lexington City",,,994,997,21,12,0,0,"2,024"
"Loudoun County",,,"20,448","10,101",206,107,0,0,"30,862"
"Louisa County",,,"3,831","2,789",42,40,0,0,"6,702"
"Lunenburg County",,,"2,530","1,870",76,20,0,0,"4,496"
"Lynchburg City (CD 5)",,,"4,143","1,488",60,21,0,0,"5,712"
"Lynchburg City (CD 6)",,,"11,180","6,791",183,60,0,0,"18,214"
"Madison County",,,"2,501","1,427",59,39,0,0,"4,026"
"Manassas City",,,"5,980","2,658",55,26,0,0,"8,719"
"Manassas Park City",,,993,434,9,10,0,0,"1,446"
"Martinsville City",,,"3,360","2,794",86,24,0,0,"6,264"
"Mathews County",,,"2,752","1,235",57,32,0,0,"4,076"
"Mecklenburg County",,,"5,887","3,275",71,45,0,0,"9,278"
"Middlesex County",,,"2,571","1,361",42,44,0,0,"4,018"
"Montgomery County",,,"12,326","8,909",98,111,0,0,"21,444"
"Nelson County",,,"2,502","2,272",35,40,0,0,"4,849"
"New Kent County",,,"2,917","1,427",20,20,0,0,"4,384"
"Newport News City",,,"32,570","21,413",287,125,0,0,"54,395"
"Norfolk City",,,"30,538","37,778",347,228,0,0,"68,891"
"Northampton County",,,"2,562","2,242",94,29,0,0,"4,927"
"Northumberland County",,,"2,984","1,506",61,30,0,0,"4,581"
"Norton City",,,608,795,15,5,0,0,"1,423"
"Nottoway County",,,"3,161","2,217",103,28,0,0,"5,509"
"Orange County",,,"4,319","2,592",69,35,0,0,"7,015"
"Page County",,,"5,013","2,499",35,28,0,0,"7,575"
"Patrick County",,,"3,990","2,093",124,22,0,0,"6,229"
"Petersburg City",,,"4,231","8,177",131,52,0,0,"12,591"
"Pittsylvania County",,,"12,229","6,612",283,77,0,0,"19,201"
"Poquoson City",,,"3,840",877,18,16,0,0,"4,751"
"Portsmouth City",,,"16,087","19,698",166,108,0,0,"36,059"
"Powhatan County",,,"4,040","1,467",16,18,0,0,"5,541"
"Prince Edward County",,,"3,147","2,434",95,44,0,0,"5,720"
"Prince George County",,,"4,982","2,469",38,26,0,0,"7,515"
"Prince William County (CD 7)",,,"9,520","3,886",99,46,0,0,"13,551"
"Prince William County (CD 8)",,,"30,134","15,312",335,121,0,0,"45,902"
