County/City,Ward,Pct,"George W. Bush","William Clinton","Ross Perot","Lyndon H. Larouche, Jr","Andre Marrou","Lenora Fulani","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,Independent,Libertarian,Independent
"Accomack County",,,"5,666","4,950","2,304",137,34,34,0,0,"13,125"
"Albemarle County (CD 5)",,,"5,118","5,806","1,518",23,40,10,0,0,"12,515"
"Albemarle County (CD 7)",,,"8,776","8,080","2,337",36,48,12,0,0,"19,289"
"Alexandria City",,,"16,700","30,784","4,934",36,143,78,0,0,"52,675"
"Alleghany County",,,"2,294","2,396",926,34,5,2,0,0,"5,657"
"Amelia County",,,"2,062","1,534",574,29,12,13,0,0,"4,224"
"Amherst County",,,"5,482","4,101","1,268",33,17,7,0,0,"10,908"
"Appomattox County",,,"2,830","1,919",801,52,12,6,0,0,"5,620"
"Arlington County",,,"26,376","47,756","7,992",48,302,110,0,0,"82,584"
"Augusta County",,,"12,896","5,190","3,397",303,64,16,0,0,"21,866"
"Bath County",,,"1,075",855,354,38,6,2,0,0,"2,330"
"Bedford City",,,"1,091",963,313,35,3,4,0,0,"2,409"
"Bedford County (CD 5)",,,"8,176","4,936","2,453",121,37,11,0,0,"15,734"
"Bedford County (CD 6)",,,"2,320","1,856",798,35,10,3,0,0,"5,022"
"Bland County",,,"1,368","1,001",408,47,5,3,0,0,"2,832"
"Botetourt County",,,"5,904","4,349","1,819",92,33,12,0,0,"12,209"
"Bristol City",,,"3,616","2,948",851,31,14,2,0,0,"7,462"
"Brunswick County",,,"2,480","3,687",479,52,9,11,0,0,"6,718"
"Buchanan County",,,"3,297","7,405",815,154,19,14,0,0,"11,704"
"Buckingham County",,,"2,368","2,193",459,46,26,11,0,0,"5,103"
"Buena Vista City",,,849,"1,023",291,31,5,1,0,0,"2,200"
"Campbell County",,,"10,931","5,999","2,553",211,35,28,0,0,"19,757"
"Caroline County",,,"2,947","3,770",965,40,15,16,0,0,"7,753"
"Carroll County",,,"5,664","3,790","1,388",49,13,11,0,0,"10,915"
"Charles City County",,,729,"2,010",251,11,5,8,0,0,"3,014"
"Charlotte County",,,"2,293","2,098",640,50,15,15,0,0,"5,111"
"Charlottesville City",,,"4,705","8,685","1,397",15,75,22,0,0,"14,899"
"Chesapeake City",,,"28,909","23,495","9,237",78,78,71,0,0,"61,868"
"Chesterfield County (CD 4)",,,"5,528","4,178","1,709",19,16,17,0,0,"11,467"
"Chesterfield County (CD 7)",,,"51,098","23,850","15,189",103,152,74,0,0,"90,466"
"Clarke County",,,"1,994","1,811",802,22,13,6,0,0,"4,648"
"Clifton Forge City",,,632,958,251,19,9,4,0,0,"1,873"
"Colonial Heights City",,,"5,298","1,721","1,312",42,20,7,0,0,"8,400"
"Covington City",,,995,"1,442",402,21,5,4,0,0,"2,869"
"Craig County",,,"1,008",965,304,9,8,3,0,0,"2,297"
"Culpeper County",,,"5,226","3,444","1,640",113,31,12,0,0,"10,466"
"Cumberland County",,,"1,643","1,284",372,67,6,12,0,0,"3,384"
"Danville City",,,"9,584","8,134","1,679",208,35,21,0,0,"19,661"
