County/City,,,"Dole/ Kemp","Clinton/ Gore","Perot/ Choate","Phillips/ Knight","Browne/ Jorgensen","Hagelin Tompkins","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Reform,"Us Taxpayers Party",Libertarian,"Natural Law"
"Accomack County",,,"5,013","5,220","1,218",128,44,31,0,0,"11,654"
"Albemarle County",,,"15,243","14,089","1,533",31,201,131,0,0,"31,228"
"Alexandria City",,,"15,554","27,968","1,472",70,229,106,0,0,"45,399"
"Alleghany County",,,"2,015","2,398",607,32,12,10,0,0,"5,074"
"Amelia County",,,"2,119","1,625",323,38,19,20,0,0,"4,144"
"Amherst County",,,"5,094","4,864",835,77,33,21,0,0,"10,924"
"Appomattox County",,,"2,625","2,239",510,58,23,22,0,0,"5,477"
"Arlington County",,,"26,106","45,573","2,782",129,575,211,0,0,"75,376"
"Augusta County",,,"13,458","5,965","1,916",636,71,56,0,0,"22,102"
"Bath County",,,847,922,247,19,13,3,0,0,"2,051"
"Bedford County",,,"11,955","7,786","1,976",281,70,41,0,0,"22,109"
"Bedford City",,,990,"1,065",212,35,7,2,0,0,"2,311"
"Bland County",,,"1,167",939,385,32,10,4,0,0,"2,537"
"Botetourt County",,,"6,404","4,576","1,138",211,30,21,0,0,"12,380"
"Bristol City",,,"2,983","2,586",429,16,10,2,0,0,"6,026"
"Brunswick County",,,"2,059","3,442",340,50,11,16,0,0,"5,918"
"Buchanan County",,,"2,785","6,551",858,98,24,16,0,0,"10,332"
"Buckingham County",,,"1,974","2,374",392,64,20,26,0,0,"4,850"
"Buena Vista City",,,713,"1,090",216,32,4,2,0,0,"2,057"
"Campbell County",,,"10,273","6,788","1,505",269,39,28,0,0,"18,902"
"Caroline County",,,"2,816","3,897",521,26,14,11,0,0,"7,285"
"Carroll County",,,"5,088","3,611","1,158",70,16,26,0,0,"9,969"
"Charles City County",,,729,"1,842",178,19,11,8,0,0,"2,787"
"Charlotte County",,,"2,103","2,007",431,53,11,9,0,0,"4,614"
"Charlottesville City",,,"4,091","7,916",565,10,132,75,0,0,"12,789"
"Chesapeake City",,,"29,251","28,713","4,456",89,136,41,0,0,"62,686"
"Chesterfield County",,,"56,650","30,220","6,004",77,266,88,0,0,"93,305"
"Clarke County",,,"2,201","1,906",379,46,22,15,0,0,"4,569"
"Clifton Forge City",,,486,974,147,15,17,2,0,0,"1,641"
"Colonial Heights City",,,"4,632","1,782",518,5,13,3,0,0,"6,953"
"Covington City",,,763,"1,394",255,28,8,5,0,0,"2,453"
"Craig County",,,979,895,262,9,9,5,0,0,"2,159"
"Culpeper County",,,"5,688","3,907",787,94,50,27,0,0,"10,553"
"Cumberland County",,,"1,544","1,303",275,57,4,7,0,0,"3,190"
"Danville City",,,"9,254","8,168",762,262,50,23,0,0,"18,519"
"Dickenson County",,,"2,229","3,913",660,43,13,10,0,0,"6,868"
"Dinwiddie County",,,"3,503","3,871",666,61,22,43,0,0,"8,166"
"Emporia City",,,835,"1,103",98,7,4,7,0,0,"2,054"
"Essex County",,,"1,627","1,668",188,31,11,8,0,0,"3,533"
"Fairfax County",,,"176,033","170,150","16,134",621,"1,788",537,0,0,"365,263"
"Fairfax City",,,"4,319","3,909",422,27,55,13,0,0,"8,745"
"Falls Church City",,,"1,644","2,375",202,14,40,9,0,0,"4,284"
"Fauquier County",,,"11,063","6,759","1,287",71,57,21,0,0,"19,258"
"Floyd County",,,"2,374","1,909",545,47,38,26,0,0,"4,939"
"Fluvanna County",,,"3,442","2,676",457,32,37,19,0,0,"6,663"
"Franklin County",,,"7,382","7,300","2,015",157,72,61,0,0,"16,987"
"Franklin City",,,"1,200","1,962",201,8,9,5,0,0,"3,385"
"Frederick County",,,"10,608","5,976","1,599",98,86,45,0,0,"18,412"
"Fredericksburg City",,,"2,579","3,215",300,13,43,14,0,0,"6,164"
"Galax City",,,910,"1,033",221,5,8,4,0,0,"2,181"
"Giles County",,,"2,566","3,196",841,78,31,14,0,0,"6,726"
"Gloucester County",,,"6,447","4,710","1,266",118,30,22,0,0,"12,593"
"Goochland County",,,"4,119","2,784",424,45,27,26,0,0,"7,425"
"Grayson County",,,"3,004","2,661",675,36,13,14,0,0,"6,403"
"Greene County",,,"2,351","1,440",346,74,27,14,0,0,"4,252"
"Greensville County",,,"1,176","2,381",263,8,8,7,0,0,"3,843"
"Halifax County",,,"6,490","5,599",876,194,42,25,0,0,"13,226"
"Hampton City",,,"16,596","24,493","2,783",429,134,72,0,0,"44,507"
"Hanover County",,,"22,086","9,880","2,447",164,79,68,0,0,"34,724"
"Harrisonburg City",,,"4,945","3,346",434,125,51,36,0,0,"8,937"
"Henrico County",,,"54,430","41,121","5,920",85,318,118,0,0,"101,992"
"Henry County",,,"9,110","9,061","2,370",245,56,32,0,0,"20,874"
"Highland County",,,631,446,134,3,4,3,0,0,"1,221"
"Hopewell City",,,"3,343","2,604",499,100,23,14,0,0,"6,583"
"Isle of Wight County",,,"5,416","4,952",893,57,32,19,0,0,"11,369"
"James City County",,,"10,120","7,247","1,116",15,64,24,0,0,"18,586"
"King and Queen County",,,"1,073","1,393",213,44,12,21,0,0,"2,756"
"King George County",,,"2,597","1,875",341,10,14,6,0,0,"4,843"
"King William County",,,"2,346","1,765",339,2,13,4,0,0,"4,469"
"Lancaster County",,,"2,709","1,844",324,3,5,8,0,0,"4,893"
