County/City,,,"Bush/ Cheney","Gore/ Lieberman","Nader/ La Duke","Browne/ Olivier","Buchanan/ Foster","Phillips/ Frazier","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Green,Libertarian,Reform,Constitution
"Accomack County",,,"6,352","5,092",220,188,56,17,0,0,"11,925"
"Albemarle County",,,"18,291","16,255","2,043",167,41,11,38,0,"36,846"
"Alexandria City",,,"19,043","33,633","2,094",223,92,6,108,0,"55,199"
"Alleghany County",,,"2,808","2,214",62,25,9,5,0,0,"5,123"
"Amelia County",,,"2,947","1,754",40,24,14,8,1,0,"4,788"
"Amherst County",,,"6,660","4,812",135,67,29,5,4,0,"11,712"
"Appomattox County",,,"3,654","2,132",62,60,13,6,0,0,"5,927"
"Arlington County",,,"28,555","50,260","3,952",463,152,34,143,0,"83,559"
"Augusta County",,,"17,744","6,643",527,269,54,32,2,0,"25,271"
"Bath County",,,"1,311",822,35,27,10,5,0,0,"2,210"
"Bedford County",,,"17,224","8,160",376,268,88,33,0,0,"26,149"
"Bedford City",,,"1,269","1,078",38,35,18,3,0,0,"2,441"
"Bland County",,,"1,759",851,42,20,10,6,0,0,"2,688"
"Botetourt County",,,"8,867","4,627",207,88,33,18,0,0,"13,840"
"Bristol City",,,"3,495","2,646",89,20,9,12,8,0,"6,279"
"Brunswick County",,,"2,561","3,387",28,13,7,1,0,0,"5,997"
"Buchanan County",,,"3,867","5,745",65,132,32,15,0,0,"9,856"
"Buckingham County",,,"2,738","2,561",96,39,12,8,0,0,"5,454"
"Buena Vista City",,,980,941,27,19,7,1,0,0,"1,975"
"Campbell County",,,"13,162","6,659",236,199,54,14,3,0,"20,327"
"Caroline County",,,"3,873","4,314",102,38,16,7,1,0,"8,351"
"Carroll County",,,"7,142","3,638",126,52,34,9,0,0,"11,001"
"Charles City County",,,"1,023","1,981",31,19,8,4,0,0,"3,066"
"Charlotte County",,,"2,855","2,017",43,46,21,11,1,0,"4,994"
"Charlottesville City",,,"4,034","7,762","1,196",111,20,1,100,0,"13,224"
"Chesapeake City",,,"39,684","33,578",732,322,109,38,122,0,"74,585"
"Chesterfield County",,,"69,924","38,638","1,646",335,128,41,239,0,"110,951"
"Clarke County",,,"2,883","2,166",195,19,15,4,2,0,"5,284"
"Clifton Forge City",,,613,868,25,20,4,1,1,0,"1,532"
"Colonial Heights City",,,"5,519","2,100",123,19,9,2,10,0,"7,782"
"Covington City",,,966,"1,168",24,40,11,5,0,0,"2,214"
"Craig County",,,"1,580",851,39,14,5,4,0,0,"2,493"
"Culpeper County",,,"7,440","4,364",253,137,27,21,2,0,"12,244"
"Cumberland County",,,"1,974","1,405",35,75,15,3,0,0,"3,507"
"Danville City",,,"9,427","8,221",168,437,36,17,1,0,"18,307"
"Dickenson County",,,"3,122","3,951",85,37,25,6,0,0,"7,226"
"Dinwiddie County",,,"4,959","4,001",74,58,32,12,0,0,"9,136"
"Emporia City",,,938,"1,116",17,4,4,1,0,0,"2,080"
"Essex County",,,"1,995","1,750",59,19,3,5,0,0,"3,831"
"Fairfax County",,,"202,181","196,501","12,201","1,546",745,164,437,0,"413,775"
"Fairfax City",,,"4,762","4,361",352,39,33,2,7,0,"9,556"
"Falls Church City",,,"2,131","3,109",285,38,18,1,11,0,"5,593"
"Fauquier County",,,"14,456","8,296",570,60,56,8,35,0,"23,481"
"Floyd County",,,"3,423","1,957",244,48,23,43,1,0,"5,739"
"Fluvanna County",,,"4,962","3,431",252,38,11,9,3,0,"8,706"
"Franklin County",,,"11,225","7,145",303,87,55,14,0,0,"18,829"
"Franklin City",,,"1,393","1,763",25,8,1,1,0,0,"3,191"
"Frederick County",,,"14,574","7,158",483,80,76,15,6,0,"22,392"
"Fredericksburg City",,,"2,935","3,360",326,36,13,2,9,0,"6,681"
"Galax City",,,"1,160",996,42,5,8,2,0,0,"2,213"
"Giles County",,,"3,574","3,004",137,70,22,13,0,0,"6,820"
"Gloucester County",,,"8,718","4,553",225,148,34,20,1,0,"13,699"
"Goochland County",,,"5,378","3,197",139,42,15,3,3,0,"8,777"
"Grayson County",,,"4,236","2,467",102,15,29,2,1,0,"6,852"
"Greene County",,,"3,375","1,774",194,50,10,5,4,0,"5,412"
"Greensville County",,,"1,565","2,314",13,4,7,3,0,0,"3,906"
"Halifax County",,,"7,732","5,963",110,211,37,19,0,0,"14,072"
"Hampton City",,,"19,561","27,490",563,154,61,24,34,0,"47,887"
"Hanover County",,,"28,614","12,044",711,117,75,12,12,0,"41,585"
"Harrisonburg City",,,"5,741","3,482",641,45,19,14,16,0,"9,958"
"Henrico County",,,"62,887","48,645","1,893",367,157,27,276,0,"114,252"
"Henry County",,,"11,870","8,898",234,331,103,26,1,0,"21,463"
"Highland County",,,942,453,32,4,6,0,0,0,"1,437"
"Hopewell City",,,"3,749","3,024",73,92,28,11,1,0,"6,978"
"Isle of Wight County",,,"7,587","5,162",123,51,11,6,10,0,"12,950"
"James City County",,,"14,628","9,090",639,94,22,2,17,0,"24,492"
"King and Queen County",,,"1,423","1,387",33,11,4,1,0,0,"2,859"
"King George County",,,"3,590","2,070",132,31,17,6,6,0,"5,852"
"King William County",,,"3,547","2,125",74,9,11,2,1,0,"5,769"
"Lancaster County",,,"3,411","1,937",88,14,3,1,1,0,"5,455"
"Lee County",,,"4,551","4,031",79,34,42,11,0,0,"8,748"
"Lexington City",,,957,"1,048",103,26,3,2,1,0,"2,140"
"Loudoun County",,,"42,453","30,938","1,665",276,133,38,150,0,"75,653"
"Louisa County",,,"5,461","4,309",222,44,45,12,3,0,"10,096"
"Lunenburg County",,,"2,510","2,026",33,16,6,0,0,0,"4,591"
"Lynchburg City",,,"12,518","10,374",441,105,35,21,12,0,"23,506"
"Madison County",,,"2,940","1,844",148,67,17,9,2,0,"5,027"
"Manassas City",,,"6,752","5,262",230,93,58,15,0,0,"12,410"
"Manassas Park City",,,"1,460","1,048",51,9,10,1,1,0,"2,580"
"Martinsville City",,,"2,560","3,048",59,12,5,2,8,0,"5,694"
"Mathews County",,,"2,951","1,499",88,54,11,6,0,0,"4,609"
