County/City,,,"Bush/ Cheney","Kerry/ Edwards","Badnarik/ Campagna","Peroutka/ Baldwin","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Libertarian,Constitution
"Accomack County",,,"7,726","5,518",57,32,23,0,"13,356"
"Albemarle County",,,"21,189","22,088",271,48,130,0,"43,726"
"Alexandria City",,,"19,844","41,116",270,85,200,0,"61,515"
"Alleghany County",,,"3,962","3,203",15,12,3,0,"7,195"
"Amelia County",,,"3,499","1,862",12,23,1,0,"5,397"
"Amherst County",,,"7,758","4,866",32,30,9,0,"12,695"
"Appomattox County",,,"4,366","2,191",12,85,1,0,"6,655"
"Arlington County",,,"29,635","63,987",526,148,354,0,"94,650"
"Augusta County",,,"22,100","7,019",87,473,25,0,"29,704"
"Bath County",,,"1,432",828,6,9,7,0,"2,282"
"Bedford County",,,"21,925","9,102",102,266,9,0,"31,404"
"Bedford City",,,"1,472","1,042",7,21,0,0,"2,542"
"Bland County",,,"1,962",846,15,42,0,0,"2,865"
"Botetourt County",,,"10,865","4,801",67,39,25,0,"15,797"
"Bristol City",,,"4,275","2,400",16,20,13,0,"6,724"
"Brunswick County",,,"2,852","4,062",5,6,1,0,"6,926"
"Buchanan County",,,"4,507","5,275",10,29,8,0,"9,829"
"Buckingham County",,,"3,185","2,789",21,29,3,0,"6,027"
"Buena Vista City",,,"1,417",936,5,31,0,0,"2,389"
"Campbell County",,,"15,891","6,862",51,185,8,0,"22,997"
"Caroline County",,,"4,999","4,878",24,28,25,0,"9,954"
"Carroll County",,,"8,173","3,888",30,37,0,0,"12,128"
"Charles City County",,,"1,254","2,155",14,15,1,0,"3,439"
"Charlotte County",,,"3,166","2,223",15,17,17,0,"5,438"
"Charlottesville City",,,"4,172","11,088",86,25,79,0,"15,450"
"Chesapeake City",,,"52,283","38,744",250,147,117,0,"91,541"
"Chesterfield County",,,"83,745","49,346",334,211,178,0,"133,814"
"Clarke County",,,"3,741","2,699",37,25,3,0,"6,505"
"Colonial Heights City",,,"6,129","2,061",19,13,9,0,"8,231"
"Covington City",,,"1,104","1,179",5,8,5,0,"2,301"
"Craig County",,,"1,706",901,9,5,0,0,"2,621"
"Culpeper County",,,"10,026","5,476",45,40,18,0,"15,605"
"Cumberland County",,,"2,377","1,721",14,13,1,0,"4,126"
"Danville City",,,"9,399","9,436",32,242,3,0,"19,112"
"Dickenson County",,,"3,591","3,761",17,36,1,0,"7,406"
"Dinwiddie County",,,"6,193","4,569",23,51,3,0,"10,839"
"Emporia City",,,970,"1,247",2,2,0,0,"2,221"
"Essex County",,,"2,304","2,007",13,18,2,0,"4,344"
"Fairfax County",,,"211,980","245,671","1,743",674,"1,311",0,"461,379"
"Fairfax City",,,"5,045","5,395",53,30,23,0,"10,546"
"Falls Church City",,,"2,074","3,944",37,7,36,0,"6,098"
"Fauquier County",,,"19,011","10,712",78,45,69,0,"29,915"
"Floyd County",,,"4,162","2,488",38,38,8,0,"6,734"
"Fluvanna County",,,"6,458","4,415",43,32,9,0,"10,957"
"Franklin County",,,"14,048","8,002",76,84,13,0,"22,223"
"Franklin City",,,"1,613","1,910",4,8,1,0,"3,536"
"Frederick County",,,"19,386","8,853",117,121,63,0,"28,540"
"Fredericksburg City",,,"3,390","4,085",28,13,26,0,"7,542"
"Galax City",,,"1,336",987,4,6,2,0,"2,335"
"Giles County",,,"4,320","3,047",30,100,1,0,"7,498"
"Gloucester County",,,"11,084","5,105",81,24,39,0,"16,333"
"Goochland County",,,"6,668","3,583",31,26,30,0,"10,338"
"Grayson County",,,"4,655","2,430",12,39,1,0,"7,137"
"Greene County",,,"4,570","2,240",36,90,3,0,"6,939"
"Greensville County",,,"1,732","2,514",1,11,0,0,"4,258"
"Halifax County",,,"8,363","6,220",26,36,11,0,"14,656"
"Hampton City",,,"23,399","32,016",154,84,88,0,"55,741"
"Hanover County",,,"35,404","13,941",144,95,27,0,"49,611"
"Harrisonburg City",,,"6,165","4,726",66,20,53,0,"11,030"
"Henrico County",,,"71,809","60,864",378,177,190,0,"133,418"
"Henry County",,,"13,358","9,851",72,170,7,0,"23,458"
"Highland County",,,982,522,7,7,2,0,"1,520"
"Hopewell City",,,"4,251","3,573",25,83,4,0,"7,936"
"Isle of Wight County",,,"9,929","5,871",37,21,13,0,"15,871"
"James City County",,,"18,949","11,934",103,46,58,0,"31,090"
"King and Queen County",,,"1,737","1,506",10,33,0,0,"3,286"
"King George County",,,"5,124","2,739",31,16,11,0,"7,921"
"King William County",,,"4,397","2,436",18,13,8,0,"6,872"
"Lancaster County",,,"3,724","2,477",18,6,5,0,"6,230"
"Lee County",,,"5,664","4,005",38,63,0,0,"9,770"
"Lexington City",,,982,"1,340",11,10,6,0,"2,349"
"Loudoun County",,,"60,382","47,271",383,149,245,0,"108,430"
"Louisa County",,,"7,083","4,844",41,50,17,0,"12,035"
"Lunenburg County",,,"2,858","2,362",12,10,3,0,"5,245"
"Lynchburg City",,,"14,400","11,727",81,74,58,0,"26,340"
"Madison County",,,"3,556","2,176",23,12,5,0,"5,772"
"Manassas City",,,"7,257","5,562",32,35,17,0,"12,903"
"Manassas Park City",,,"1,807","1,498",13,9,5,0,"3,332"
"Martinsville City",,,"2,538","3,036",7,10,12,0,"5,603"
"Mathews County",,,"3,497","1,589",17,25,1,0,"5,129"
"Mecklenburg County",,,"7,319","5,293",48,119,1,0,"12,780"
"Middlesex County",,,"3,336","1,914",24,100,3,0,"5,377"
"Montgomery County",,,"17,070","14,128",179,96,42,0,"31,515"
"Nelson County",,,"3,539","3,543",33,15,9,0,"7,139"
"New Kent County",,,"5,414","2,443",42,41,6,0,"7,946"
"Newport News City",,,"32,208","35,319",197,102,126,0,"67,952"
"Norfolk City",,,"26,401","43,518",318,191,142,0,"70,570"
"Northampton County",,,"2,669","2,775",32,16,7,0,"5,499"
"Northumberland County",,,"3,832","2,548",14,7,8,0,"6,409"
"Norton City",,,768,725,2,6,3,0,"1,504"
"Nottoway County",,,"3,303","2,635",19,71,2,0,"6,030"
"Orange County",,,"7,749","5,015",48,112,4,0,"12,928"
"Page County",,,"6,221","3,324",19,20,19,0,"9,603"
"Patrick County",,,"5,507","2,572",29,96,11,0,"8,215"
"Petersburg City",,,"2,238","9,682",13,15,1,0,"11,949"
"Pittsylvania County",,,"17,673","9,274",58,405,7,0,"27,417"
"Poquoson City",,,"5,004","1,424",31,15,6,0,"6,480"
"Portsmouth City",,,"15,212","24,112",108,49,53,0,"39,534"
"Powhatan County",,,"8,955","3,112",46,32,18,0,"12,163"
"Prince Edward County",,,"3,571","3,632",31,76,6,0,"7,316"
"Prince George County",,,"8,131","5,066",26,18,13,0,"13,254"
"Prince William County",,,"69,776","61,271",347,530,139,0,"132,063"
"Pulaski County",,,"8,769","5,310",84,77,11,0,"14,251"
"Radford City",,,"2,564","2,244",23,8,6,0,"4,845"
"Rappahannock County",,,"2,172","1,837",22,10,9,0,"4,050"
"Richmond County",,,"2,082","1,243",11,25,0,0,"3,361"
"Richmond City",,,"21,637","52,167",331,114,76,0,"74,325"
"Roanoke County",,,"30,596","16,082",132,96,67,0,"46,973"
"Roanoke City",,,"16,661","18,862",220,191,66,0,"36,000"
"Rockbridge County",,,"5,412","3,627",41,89,12,0,"9,181"
"Rockingham County",,,"21,737","7,273",80,75,51,0,"29,216"
"Russell County",,,"6,077","5,167",25,154,0,0,"11,423"
"Salem City",,,"7,115","4,254",42,60,13,0,"11,484"
"Scott County",,,"6,479","3,324",32,132,0,0,"9,967"
"Shenandoah County",,,"11,820","5,186",62,40,38,0,"17,146"
"Smyth County",,,"7,906","4,143",43,223,4,0,"12,319"
"Southampton County",,,"4,018","3,431",17,19,7,0,"7,492"
"Spotsylvania County",,,"28,527","16,623",120,83,92,0,"45,445"
"Stafford County",,,"28,500","17,208",113,81,84,0,"45,986"
"Staunton City",,,"5,805","3,756",33,15,20,0,"9,629"
"Suffolk City",,,"16,763","15,233",100,65,28,0,"32,189"
"Surry County",,,"1,543","1,954",13,12,0,0,"3,522"
"Sussex County",,,"1,890","2,420",14,20,1,0,"4,345"
"Tazewell County",,,"10,039","7,184",27,222,8,0,"17,480"
"Virginia Beach City",,,"103,752","70,666",656,274,339,0,"175,687"
"Warren County",,,"8,600","5,241",52,169,6,0,"14,068"
"Washington County",,,"14,749","7,339",71,342,13,0,"22,514"
"Waynesboro City",,,"5,092","2,792",38,23,18,0,"7,963"
"Westmoreland County",,,"3,433","3,370",21,14,10,0,"6,848"
"Williamsburg City",,,"2,064","2,216",21,6,13,0,"4,320"
"Winchester City",,,"5,283","3,967",40,29,24,0,"9,343"
"Wise County",,,"8,330","5,802",30,145,5,0,"14,312"
"Wythe County",,,"7,911","3,581",15,30,17,0,"11,554"
"York County",,,"19,396","10,276",124,38,46,0,"29,880"
TOTALS,,,"1,716,959","1,454,742","11,032","10,161","5,473",0,"3,198,367"
