County/City,,,"Barack Obama","John McCain","Ralph Nader","Bob Barr","Chuck Baldwin","Cynthia McKinney","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian,Independent,Green
"Accomack County",,,"7,607","7,833",65,54,31,16,17,0,"15,623"
"Albemarle County",,,"29,792","20,576",166,224,95,28,103,0,"50,984"
"Alexandria City",,,"50,473","19,181",187,218,81,40,184,0,"70,364"
"Alleghany County",,,"3,553","3,715",48,14,25,7,7,0,"7,369"
"Amelia County",,,"2,488","3,970",26,12,18,12,3,0,"6,529"
"Amherst County",,,"6,094","8,470",39,41,33,7,16,0,"14,700"
"Appomattox County",,,"2,641","4,903",8,30,30,12,6,0,"7,630"
"Arlington County",,,"78,994","29,876",312,487,122,61,301,0,"110,153"
"Augusta County",,,"9,825","23,120",125,111,89,20,48,0,"33,338"
"Bath County",,,"1,043","1,349",12,5,15,4,4,0,"2,432"
"Bedford County",,,"11,017","24,420",106,128,104,21,34,0,"35,830"
"Bedford City",,,"1,208","1,497",14,7,3,3,2,0,"2,734"
"Bland County",,,864,"2,031",30,8,13,8,5,0,"2,959"
"Botetourt County",,,"5,693","11,471",62,68,71,17,24,0,"17,406"
"Bristol City",,,"2,665","4,579",39,17,29,4,26,0,"7,359"
"Brunswick County",,,"4,973","2,877",13,13,18,13,7,0,"7,914"
"Buchanan County",,,"4,063","4,541",36,25,25,11,33,0,"8,734"
"Buckingham County",,,"3,489","3,428",30,19,14,10,4,0,"6,994"
"Buena Vista City",,,"1,108","1,282",6,8,12,1,6,0,"2,423"
"Campbell County",,,"8,091","17,444",66,75,95,14,29,0,"25,814"
"Caroline County",,,"7,163","5,617",46,40,20,15,18,0,"12,919"
"Carroll County",,,"4,109","8,187",116,46,57,34,30,0,"12,579"
"Charles City County",,,"2,838","1,288",7,7,6,3,4,0,"4,153"
"Charlotte County",,,"2,705","3,372",20,22,19,7,12,0,"6,157"
"Charlottesville City",,,"15,705","4,078",61,86,26,17,71,0,"20,044"
"Chesapeake City",,,"53,994","52,625",191,275,252,41,143,0,"107,521"
"Chesterfield County",,,"74,310","86,413",437,405,221,47,255,0,"162,088"
"Clarke County",,,"3,457","3,840",43,34,31,8,18,0,"7,431"
"Colonial Heights City",,,"2,562","6,161",33,35,29,7,22,0,"8,849"
"Covington City",,,"1,304","1,020",14,5,6,0,5,0,"2,354"
"Craig County",,,877,"1,695",18,16,8,5,2,0,"2,621"
"Culpeper County",,,"8,802","10,711",70,51,58,19,30,0,"19,741"
"Cumberland County",,,"2,255","2,418",12,14,16,5,4,0,"4,724"
"Danville City",,,"12,352","8,361",59,47,37,15,19,0,"20,890"
"Dickenson County",,,"3,278","3,324",46,25,32,14,34,0,"6,753"
"Dinwiddie County",,,"6,246","6,526",27,28,44,16,5,0,"12,892"
"Emporia City",,,"1,702",897,5,7,3,2,1,0,"2,617"
"Essex County",,,"2,934","2,379",17,14,9,6,5,0,"5,364"
"Fairfax County",,,"310,359","200,994","1,457","1,482",682,274,"1,006",0,"516,254"
"Fairfax City",,,"6,575","4,691",33,48,22,4,25,0,"11,398"
"Falls Church City",,,"4,695","1,970",27,31,9,4,14,0,"6,750"
"Fauquier County",,,"14,616","19,227",106,98,62,21,89,0,"34,219"
"Floyd County",,,"2,937","4,441",50,31,34,10,13,0,"7,516"
"Fluvanna County",,,"6,185","6,420",37,55,15,7,16,0,"12,735"
"Franklin County",,,"9,618","15,414",120,100,83,21,45,0,"25,401"
"Franklin City",,,"2,819","1,576",8,8,11,4,1,0,"4,427"
"Frederick County",,,"12,961","20,149",185,104,107,46,60,0,"33,612"
"Fredericksburg City",,,"6,155","3,413",34,27,10,9,29,0,"9,677"
"Galax City",,,"1,052","1,317",9,14,5,3,2,0,"2,402"
"Giles County",,,"3,192","4,462",49,35,35,9,13,0,"7,795"
"Gloucester County",,,"6,916","12,089",70,74,39,7,27,0,"19,222"
"Goochland County",,,"4,813","7,643",28,32,22,11,13,0,"12,562"
"Grayson County",,,"2,480","4,540",94,25,33,25,23,0,"7,220"
"Greene County",,,"3,174","4,980",41,22,22,5,16,0,"8,260"
"Greensville County",,,"3,122","1,729",11,9,14,0,2,0,"4,887"
"Halifax County",,,"8,126","8,600",32,35,33,12,12,0,"16,850"
"Hampton City",,,"46,917","20,476",160,152,112,27,99,0,"67,943"
"Hanover County",,,"18,447","37,344",137,146,70,16,88,0,"56,248"
"Harrisonburg City",,,"8,444","6,048",49,68,24,9,33,0,"14,675"
