County/City,,,"Barack Obama","Willard M. Romney","Gary Johnson","Virgil Hamlin Goode, Jr.","Jill Stein","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Constitution,Green
"Accomack County",,,"7,655","8,213",83,35,41,24,0,"16,051"
"Albemarle County",,,"29,757","23,297",483,141,135,175,0,"53,988"
"Alexandria City",,,"52,199","20,249",553,95,185,260,0,"73,541"
"Alleghany County",,,"3,403","3,595",62,78,24,11,0,"7,173"
"Amelia County",,,"2,490","4,331",43,28,12,11,0,"6,915"
"Amherst County",,,"5,900","8,876",85,71,18,20,0,"14,970"
"Appomattox County",,,"2,453","5,340",46,58,27,11,0,"7,935"
"Arlington County",,,"81,269","34,474","1,178",126,365,198,0,"117,610"
"Augusta County",,,"9,451","23,624",313,163,76,69,0,"33,696"
"Bath County",,,894,"1,274",14,27,9,5,0,"2,223"
"Bedford County",,,"10,209","26,679",222,212,53,62,0,"37,437"
"Bedford City",,,"1,225","1,527",19,23,4,7,0,"2,805"
"Bland County",,,735,"2,144",19,28,11,11,0,"2,948"
"Botetourt County",,,"5,452","12,479",98,164,26,22,0,"18,241"
"Bristol City",,,"2,492","4,780",51,31,11,31,0,"7,396"
"Brunswick County",,,"4,994","2,968",23,36,12,9,0,"8,042"
"Buchanan County",,,"3,094","6,436",44,52,10,10,0,"9,646"
"Buckingham County",,,"3,750","3,569",38,73,20,7,0,"7,457"
"Buena Vista City",,,919,"1,564",17,18,8,1,0,"2,527"
"Campbell County",,,"7,595","17,695",178,149,35,54,0,"25,706"
"Caroline County",,,"7,276","6,151",98,59,30,38,0,"13,652"
"Carroll County",,,"3,685","8,736",105,280,92,20,0,"12,918"
"Charles City County",,,"2,772","1,396",29,10,6,19,0,"4,232"
"Charlotte County",,,"2,503","3,311",16,51,17,0,0,"5,898"
"Charlottesville City",,,"16,510","4,844",237,44,109,60,0,"21,804"
"Chesapeake City",,,"55,052","53,900",853,212,157,309,0,"110,483"
"Chesterfield County",,,"77,694","90,934","1,385",405,274,514,0,"171,206"
"Clarke County",,,"3,239","4,296",118,38,43,28,0,"7,762"
